Région-Département-Ville,"L’espérance de vie"
"Provence-Alpes-Côte d'Azur - Var - Cavalaire-sur-Mer",91
"Alsace - Bas Rhin - Marckolsheim",63
"Alsace - Bas Rhin - Sarre-Union",52
"Alsace - Bas Rhin - Plobsheim",74
"Île-de-France - Paris - Paris",83
"Languedoc-Roussillon - Gard - Bagnols-sur-Cèze",69
"Alsace - Bas Rhin - Lampertsloch",89
"Alsace - Bas Rhin - Strasbourg",75
"Alsace - Bas Rhin - Ostwald",92
"Alsace - Bas Rhin - Oberhausbergen",77
"Alsace - Bas Rhin - Bouxwiller",59
"Alsace - Bas Rhin - La Wantzenau",45
"Alsace - Bas Rhin - Schweighouse-sur-Moder",78
"Alsace - Bas Rhin - Bischwiller",96
"Alsace - Bas Rhin - Sélestat",91
"Alsace - Bas Rhin - Niederhausbergen",85
"Alsace - Bas Rhin - Bischheim",71
"Alsace - Bas Rhin - Seebach",53
"Alsace - Bas Rhin - Hindisheim",93
"Alsace - Bas Rhin - Drulingen",86
"Provence-Alpes-Côte d'Azur - Vaucluse - Avignon",83
"Alsace - Bas Rhin - Vendenheim",66
"Alsace - Haut Rhin - Mulhouse",92
"Alsace - Haut Rhin - Hunawihr",81
"Alsace - Haut Rhin - Ranspach",28
"Alsace - Haut Rhin - Burnhaupt-le-Haut",76
"Alsace - Haut Rhin - Colmar",79
"Bourgogne - Saône-et-Loire - Mâcon",87
"Alsace - Haut Rhin - Soultzmatt",68
"Alsace - Haut Rhin - Illzach",69
"Alsace - Haut Rhin - Wittenheim",78
"Alsace - Haut Rhin - Munster",83
"Alsace - Haut Rhin - Cernay",97
"Alsace - Haut Rhin - Altkirch",84
"Alsace - Haut Rhin - Gueberschwihr",93
"Alsace - Haut Rhin - Attenschwiller",82
"Alsace - Haut Rhin - Wettolsheim",87
"Alsace - Haut Rhin - Raedersheim",81
"Alsace - Haut Rhin - Bollwiller",78
"Alsace - Haut Rhin - Brunstatt",83
"Alsace - Haut Rhin - Thann",93
"Alsace - Haut Rhin - Wittelsheim",87
"Alsace - Haut Rhin - Bennwihr",96
"Midi-Pyrénées - Hautes Pyrénées - Tarbes",87
"Alsace - Haut Rhin - Pfastatt",94
"Alsace - Haut Rhin - Leimbach",83
