city,baac_accidents_cyclistes,baac_accidents_cyclistes_per_100k
Bordeaux,45.0,17.0
Marseille,15.0,1.7
Nantes,20.0,6.2
Lyon,141.0,10.1
Rennes,64.0,28.8
Lille,27.0,11.4
La Roche-sur-Yon,,
Paris,1013.0,9.5
Belfort,3.0,6.5
Toulouse,23.0,4.7
Vichy,2.0,8.3
Brest,22.0,15.3
Angers,,
Besançon,13.0,11.1
Strasbourg,70.0,24.6
Nancy,21.0,20.2
Périgueux,,
Amiens,12.0,8.9
Carcassonne,5.0,10.4
Auray,1.0,7.1
Grenoble,,
Argelès-sur-Mer,,
Bourg-en-Bresse,4.0,9.5
La Baule,,
Épinal,3.0,9.7
Cergy-Pontoise,0.0,0.0
Dijon,,
Longwy,0.0,0.0
Saint-Brieuc,6.0,13.6
Clermont-Ferrand,23.0,15.6
Landerneau,,
Libourne,0.0,0.0
Mulhouse,2.0,1.9
Niort,2.0,3.3
Troyes,20.0,32.3
PAU,32.0,41.6
Louviers,1.0,5.6
Calais,7.0,9.7
Les Sables-d'Olonne,,
Montpellier,,
Soissons,0.0,0.0
Reims,37.0,20.4
Auxerre,0.0,0.0
Agen,6.0,17.6
Cholet,1.0,1.8
Valence,5.0,7.4
Caen,8.0,7.5
Brive-la-Gaillarde,8.0,16.3
Chantrerie,,
Avignon,6.0,6.4
Laon,0.0,0.0
Pointe-à-Pitre,,
Royan,2.0,10.5
Annecy,14.0,10.8
Ardenne Métropole,1.0,1.9
Saint-Étienne,8.0,4.6
Cherbourg-en-Cotentin,4.0,5.1
La Réunion,,
Tarbes,3.0,7.3
Saint-Nazaire,,
Châtellerault,,
Montreuil-Bellay,,
