city,emp_part_velo_2019
Bordeaux,4.9
Marseille,1.2
Nantes,4.7
Lyon,3.2
Rennes,5.2
Lille,2.5
La Roche-sur-Yon,
Paris,3.7
Belfort,2.8
Toulouse,2.2
Vichy,2.5
Brest,2.9
Angers,
Besançon,4.2
Strasbourg,9.0
Nancy,2.9
Périgueux,
Amiens,3.9
Carcassonne,1.5
Auray,3.5
Grenoble,
Argelès-sur-Mer,
Bourg-en-Bresse,2.5
La Baule,
Épinal,2.6
Cergy-Pontoise,1.8
Dijon,
Longwy,1.4
Saint-Brieuc,2.1
Clermont-Ferrand,1.9
Landerneau,
Libourne,2.2
Mulhouse,5.4
Niort,3.4
Troyes,2.0
PAU,1.8
Louviers,2.1
Calais,2.0
Les Sables-d'Olonne,
Montpellier,
Soissons,1.8
Reims,2.3
Auxerre,2.8
Agen,1.5
Cholet,3.3
Valence,1.8
Caen,3.5
Brive-la-Gaillarde,1.3
Chantrerie,
Avignon,1.5
Laon,1.5
Pointe-à-Pitre,
Royan,2.5
Annecy,3.1
Ardenne Métropole,1.3
Saint-Étienne,1.2
Cherbourg-en-Cotentin,2.3
La Réunion,
Tarbes,1.5
Saint-Nazaire,
Châtellerault,
Montreuil-Bellay,
