city,fub_score_2023,fub_rank_2023
Bordeaux,3.46,3.0
Marseille,2.49,11.0
Nantes,3.71,2.0
Lyon,3.28,5.0
Rennes,3.38,4.0
Lille,3.07,6.0
La Roche-sur-Yon,,
Paris,2.89,7.0
Belfort,3.02,
Toulouse,2.72,9.0
Vichy,,
Brest,3.3,
Angers,,
Besançon,3.45,
Strasbourg,4.1,1.0
Nancy,3.15,
Périgueux,,
Amiens,3.08,
Carcassonne,2.65,
Auray,,
Grenoble,,
Argelès-sur-Mer,,
Bourg-en-Bresse,2.72,
La Baule,,
Épinal,,
Cergy-Pontoise,,
Dijon,,
Longwy,,
Saint-Brieuc,2.95,
Clermont-Ferrand,2.88,
Landerneau,,
Libourne,,
Mulhouse,2.95,
Niort,3.18,
Troyes,2.82,
PAU,2.75,
Louviers,,
Calais,2.68,
Les Sables-d'Olonne,,
Montpellier,,
Soissons,,
Reims,3.02,
Auxerre,2.8,
Agen,,
Cholet,2.88,
Valence,2.68,
Caen,3.1,
Brive-la-Gaillarde,2.52,
Chantrerie,,
Avignon,2.72,
Laon,,
Pointe-à-Pitre,,
Royan,,
Annecy,3.38,
Ardenne Métropole,,
Saint-Étienne,2.52,
Cherbourg-en-Cotentin,2.78,
La Réunion,,
Tarbes,2.58,
Saint-Nazaire,,
Châtellerault,,
Montreuil-Bellay,,
