city,code_commune,insee_part_velo_travail_2022
Strasbourg,67482,19.6841422144854
Montpellier,34172,11.6538640948536
Nantes,44109,13.3151074746505
Mulhouse,68224,4.58545572448006
Paris,75056,9.33003184333977
Caen,14118,8.51052229085321
Brest,29019,5.49538624215618
Bordeaux,33063,18.2433716505083
Dijon,21231,8.58836948780252
Rennes,35238,13.6886804284226
Saint-Nazaire,44184,7.81347058162491
Besançon,25056,6.49626758116596
Toulouse,31555,11.4511056569196
Cergy-Pontoise,95127,1.08386342662715
Soissons,02722,2.40348625861818
Auray,56007,3.44924698442029
Rouen,76540,4.98138755839279
Belfort,90010,4.704251954106
Bourg-en-Bresse,01053,6.57551420970263
Saint-Étienne,42218,2.55417570652646
Les Sables-d'Olonne,85194,6.46057721187666
Argelès-sur-Mer,66008,5.76925043551341
La Baule,44055,3.90349616454334
Cholet,49099,3.92881759461695
Agen,47001,6.66858959342826
Avignon,84007,8.19263586334225
Saint-Brieuc,22278,4.49297359580835
Lille,59350,8.23901225191742
La Roche-sur-Yon,85191,5.8745835239286
Valence,26362,8.47263474505972
Valenciennes,59606,2.88421199921293
Clermont-Ferrand,63113,5.48998707636534
Châtellerault,86066,4.98052231037926
Vichy,03310,4.61748864740261
Montreuil-Bellay,49215,2.74711700014134
Landerneau,29103,2.11445297934487
Pau,64445,7.7952352841509
Royan,17306,4.55799766015818
Calais,62193,3.10388169143651
Louviers,27375,2.24395785438833
Amiens,80021,6.71558309940503
Cherbourg-en-Cotentin,50129,6.23965766841271
Libourne,33243,4.65326848527402
Troyes,10387,5.50878457511585
Lyon,69123,11.9074178438811
Marseille,13055,2.85554452476184
Tarbes,65440,5.22272360869269
Niort,79191,6.80749864472096
Brive-la-Gaillarde,19031,4.06652778309087
Auxerre,89024,3.23396612263395
Carcassonne,11069,2.812904298631
Épinal,88160,3.35575099094288
Saumur,49328,7.07299683546874
Nancy,54395,6.0424603262968
Longwy,54323,0.358159074439887
Annecy,74010,9.10399847349704
Lascaux,19109,0.0
Laon,02408,2.25914373595414
