city,region,maire,parti_maire,couleur_municipale,annee_election,president_region,parti_region,couleur_regionale,note,annee_vls,couleur_precedente
Paris,Île-de-France,Anne Hidalgo,PS,Gauche,2020,Valérie Pécresse,LR,Droite,Municipales 2020,2007,Gauche
Lyon,Auvergne-Rhône-Alpes,Grégory Doucet,EELV,Gauche,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2005,Centre
Marseille,Provence-Alpes-Côte d'Azur,Benoît Payan,PS,Gauche,2020,Renaud Muselier,LR,Droite,Municipales 2020,2007,Droite
Toulouse,Occitanie,Jean-Luc Moudenc,LR,Droite,2020,Carole Delga,PS,Gauche,Municipales 2020,2007,Droite
Nice,Provence-Alpes-Côte d'Azur,Christian Estrosi,LR,Droite,2020,Renaud Muselier,LR,Droite,Municipales 2020,2009,Droite
Bordeaux,Nouvelle-Aquitaine,Pierre Hurmic,EELV,Gauche,2020,Alain Rousset,PS,Gauche,Municipales 2020,2010,Droite
Nantes,Pays de la Loire,Johanna Rolland,PS,Gauche,2020,Christelle Morançais,LR,Droite,Municipales 2020,2008,Gauche
Strasbourg,Grand Est,Jeanne Barseghian,EELV,Gauche,2020,Franck Leroy,LR,Droite,Municipales 2020,2013,Gauche
Montpellier,Occitanie,Michaël Delafosse,PS,Gauche,2020,Carole Delga,PS,Gauche,Municipales 2020,2012,Centre
Rennes,Bretagne,Nathalie Appéré,PS,Gauche,2020,Loïg Chesnais-Girard,PS,Gauche,Municipales 2020,2009,Gauche
Grenoble,Auvergne-Rhône-Alpes,Éric Piolle,EELV,Gauche,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2011,Gauche
Dijon,Bourgogne-Franche-Comté,François Rebsamen,PS,Gauche,2020,Marie-Guite Dufay,PS,Gauche,Municipales 2020,2010,Gauche
Angers,Pays de la Loire,Christophe Béchu,LR,Droite,2020,Christelle Morançais,LR,Droite,Municipales 2020,2011,Droite
Clermont-Ferrand,Auvergne-Rhône-Alpes,Olivier Bianchi,PS,Gauche,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2012,Gauche
