source,system_id,title,city,gbfs_url,region,department,n_stations,status
MobilityData,altervelo,Altervelo Libre-service,"Saint-Pierre, L'Étang-Salé & Saint-Louis",https://api.gbfs.v3.0.ecovelo.mobi/altervelo/gbfs.json,La Réunion,La Réunion,31,ok
MobilityData,auray-quiberon,AQTA,Auray,https://gbfs.partners.fifteen.eu/gbfs/auray-quiberon/gbfs.json,Bretagne,Morbihan,11,ok
MobilityData,auto-en-velay,Auto-en-Velay,Allègre,https://backend.citiz.fr/public/provider/23/gbfs/3.0/gbfs.json,Auvergne-Rhône-Alpes,Haute-Loire,9,ok
MobilityData,auxrmlevelo,AuxR_M le vélo,Auxerre,https://gbfs.partners.fifteen.eu/gbfs/2.2/auxerre/en/gbfs.json,Bourgogne-Franche-Comté,Yonne,55,ok
MobilityData,bird-ajaccio,Bird Ajaccio,Ajaccio,https://mds.bird.co/gbfs/v2/public/ajaccio/gbfs.json,Corse,Corse-du-Sud,32,ok
MobilityData,bird-bordeaux,Bird Bordeaux,Bordeaux,https://mds.bird.co/gbfs/v2/public/bordeaux/gbfs.json,Nouvelle-Aquitaine,Gironde,3152,ok
MobilityData,bird-castres,Bird Castres,Castres,https://mds.bird.co/gbfs/v2/public/castres/gbfs.json,Occitanie,Tarn,0,too_small
MobilityData,bird-chalonsenchampagne,Bird Chalonsenchampagne,Châlons-en-Champagne,https://mds.bird.co/gbfs/v2/public/chalonsenchampagne/gbfs.json,Grand Est,Marne,0,too_small
MobilityData,bird-dieppe,Bird Dieppe,Dieppe,https://mds.bird.co/gbfs/v2/public/dieppe/gbfs.json,Normandie,Seine-Maritime,0,too_small
MobilityData,bird-draguignan,Bird Draguignan,Draguignan,https://mds.bird.co/gbfs/v2/public/draguignan/gbfs.json,Provence-Alpes-Côte d'Azur,Var,63,ok
MobilityData,bird-epron,Bird Epron,Epron,https://mds.bird.co/gbfs/v2/public/epron/gbfs.json,Normandie,Calvados,0,too_small
MobilityData,bird-gap,Bird Gap,Gap,https://mds.bird.co/gbfs/v2/public/gap/gbfs.json,Provence-Alpes-Côte d'Azur,Hautes-Alpes,50,ok
MobilityData,bird-herouvillesaintclair,Bird Herouvillesaintclair,Herouville-Saint-Clair,https://mds.bird.co/gbfs/v2/public/herouvillesaintclair/gbfs.json,Normandie,Calvados,0,too_small
MobilityData,bird-larochesuryon,Bird Larochesuryon,La Roche-sur-Yon,https://mds.bird.co/gbfs/v2/public/larochesuryon/gbfs.json,Pays de la Loire,Vendée,69,ok
MobilityData,bird-laval,Bird Laval,Laval,https://mds.bird.co/gbfs/v2/public/laval/gbfs.json,Pays de la Loire,Mayenne,83,ok
MobilityData,bird-marseille,Bird Marseille,Marseille,https://mds.bird.co/gbfs/v2/public/marseille/gbfs.json,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,803,ok
MobilityData,bird-millau,Bird Millau,Millau,https://mds.bird.co/gbfs/v2/public/millau/gbfs.json,Occitanie,Aveyron,76,ok
MobilityData,bird-montlucon,Bird Montlucon,Montluçon,https://mds.bird.co/gbfs/v2/public/montlucon/gbfs.json,Auvergne-Rhône-Alpes,Allier,63,ok
MobilityData,bird-ouistreham,Bird Ouistreham,Ouistreham,https://mds.bird.co/gbfs/v2/public/ouistreham/gbfs.json,Normandie,Calvados,0,too_small
MobilityData,bird-sarreguemines,Bird Sarreguemines,Sarreguemines,https://mds.bird.co/gbfs/v2/public/sarreguemines/gbfs.json,Grand Est,Moselle,65,ok
MobilityData,bird-vichy,Bird Vichy,Vichy,https://mds.bird.co/gbfs/v2/public/vichy/gbfs.json,Auvergne-Rhône-Alpes,Allier,46,ok
MobilityData,CVelo_FR_Clermont-Ferrand,C-Vélo,Clermont-Ferrand,https://clermontferrand.publicbikesystem.net/customer/gbfs/v3.0/,Auvergne-Rhône-Alpes,Puy-de-Dôme,82,ok
MobilityData,calivelo,CaliVélo,Libourne,https://api.gbfs.v3.0.ecovelo.mobi/calivelo/gbfs.json,Nouvelle-Aquitaine,Gironde,66,ok
MobilityData,capcotentin,CapCotentin,Cherbourg-en-Cotentin,https://api.gbfs.v3.0.ecovelo.mobi/capcotentin/gbfs.json,Normandie,Manche,49,ok
MobilityData,mp_CHATELLERAULT,CHATELLERAULT,Châtellerault,https://www.mobility-parc.net/gbfs/v3/CHATELLERAULT/gbfs.json,Nouvelle-Aquitaine,Vienne,13,ok
MobilityData,choletbus,Choletbus 2 Roues,Cholet,https://api.gbfs.v3.0.ecovelo.mobi/choletbus/gbfs.json,Pays de la Loire,Maine-et-Loire,16,ok
MobilityData,citedia_services,Citédia Services,Rennes,https://backend.citiz.fr/public/provider/22/gbfs/3.0/gbfs.json,Bretagne,Ille-et-Vilaine,2,too_small
MobilityData,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,https://backend.citiz.fr/public/provider/5/gbfs/v3.0/gbfs.json,Auvergne-Rhône-Alpes,Isère,408,ok
MobilityData,citiz_angers,Citiz Angers,Angers,https://backend.citiz.fr/public/provider/7/gbfs/v3.0/gbfs.json,Pays de la Loire,Maine-et-Loire,26,ok
MobilityData,aupa,Citiz AUPA,Bayonne,https://backend.citiz.fr/public/provider/20/gbfs/v3.0/gbfs.json,Nouvelle-Aquitaine,Pyrénées-Atlantiques,8,ok
MobilityData,citiz_bfc,Citiz BFC,Besançon,https://backend.citiz.fr/public/provider/2/gbfs/v3.0/gbfs.json,Bourgogne-Franche-Comté,Doubs,56,ok
MobilityData,citiz_developpement,Citiz Développement,France,https://backend.citiz.fr/public/provider/12/gbfs/3.0/gbfs.json,National,National,55,ok
MobilityData,citiz_gironde,Citiz Gironde,Bordeaux,https://backend.citiz.fr/public/provider/4/gbfs/v3.0/gbfs.json,Nouvelle-Aquitaine,Gironde,99,ok
MobilityData,citiz_grand_est,Citiz Grand Est,Strasbourg,https://backend.citiz.fr/public/provider/1/gbfs/v3.0/gbfs.json,Grand Est,Bas-Rhin,285,ok
