Station_Raw,Station_Name,Latitude,Longitude,data_source,data_created
002 Comédie,Comédie,43.6091864,3.8815041,GPS_Geocoded,2025-12-16 09:57:42
001 Rue Jules Ferry - Gare Saint-Roch,Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,GPS_Geocoded,2025-12-16 09:57:42
007 Foch,Foch,43.6109947,3.8733344,GPS_Geocoded,2025-12-16 09:57:42
038 Fac de Lettres,Fac de Lettres,43.6353331,3.8687709,GPS_Geocoded,2025-12-16 09:57:42
057 Saint-Guilhem - Courreau,Saint-Guilhem - Courreau,43.6089424,3.8727765,GPS_Geocoded,2025-12-16 09:57:42
006 Place Albert 1er - St Charles,Place Albert 1er - St Charles,43.6166028,3.8739949,GPS_Geocoded,2025-12-16 09:57:42
047 Place Viala,Place Viala,43.6168167,3.8550842,GPS_Geocoded,2025-12-16 09:57:42
023 Les Arceaux,Les Arceaux,43.6126513,3.8632773,GPS_Geocoded,2025-12-16 09:57:42
041 Euromédecine,Euromédecine,43.6419736,3.8375497,GPS_Geocoded,2025-12-16 09:57:42
037 FacdesSciences,FacdesSciences,43.633469,3.863365,GPS_Geocoded,2025-12-16 09:57:42
056 Albert 1er - Cathédrale,Albert 1er - Cathédrale,43.6148176,3.8737832,GPS_Geocoded,2025-12-16 09:57:42
030 Charles Flahault,Charles Flahault,43.6187686,3.8659891,GPS_Geocoded,2025-12-16 09:57:42
017 Médiathèque Emile Zola,Médiathèque Emile Zola,43.6082468,3.8930561,GPS_Geocoded,2025-12-16 09:57:42
018 Nombre d'Or,Nombre d'Or,43.6079002,3.8866534,GPS_Geocoded,2025-12-16 09:57:42
012 Boutonnet,Boutonnet,43.6199984,3.8678033,GPS_Geocoded,2025-12-16 09:57:42
009 Observatoire,Observatoire,43.6145267,3.8710807,GPS_Geocoded,2025-12-16 09:57:42
025 Nouveau Saint-Roch,Nouveau Saint-Roch,43.5992903,3.8756446,GPS_Geocoded,2025-12-16 09:57:42
010 Rondelet,Rondelet,43.6041463,3.8748308,GPS_Geocoded,2025-12-16 09:57:42
011 Plan Cabanes,Plan Cabanes,43.6084996,3.868611,GPS_Geocoded,2025-12-16 09:57:42
049 Tonnelles,Tonnelles,43.6151527,3.8394759,GPS_Geocoded,2025-12-16 09:57:42
014 Beaux-Arts,Beaux-Arts,43.6169338,3.8834353,GPS_Geocoded,2025-12-16 09:57:42
050 Parvis Jules Ferry - Gare Saint-Roch,Parvis Jules Ferry - Gare Saint-Roch,43.605325,3.881229,GPS_Geocoded,2025-12-16 09:57:42
019 Louis Blanc,Louis Blanc,43.614645,3.8776294,GPS_Geocoded,2025-12-16 09:57:42
026 Renouvier,Renouvier,43.6031881,3.8678316,GPS_Geocoded,2025-12-16 09:57:42
046 Père Soulas,Père Soulas,43.6219699,3.855618,GPS_Geocoded,2025-12-16 09:57:42
039 Aiguelongue,Aiguelongue,43.636472,3.8823753,GPS_Geocoded,2025-12-16 09:57:42
040 Jeu de Mail des Abbés,Jeu de Mail des Abbés,43.6204066,3.8840474,GPS_Geocoded,2025-12-16 09:57:42
031 Voltaire,Voltaire,43.6037185,3.8889694,GPS_Geocoded,2025-12-16 09:57:42
048 Hôtel du Département,Hôtel du Département,43.6218482,3.8350214,GPS_Geocoded,2025-12-16 09:57:42
029 Richter,Richter,43.6056173,3.8995795,GPS_Geocoded,2025-12-16 09:57:42
013 Emile Combes,Emile Combes,43.6167422,3.8799722,GPS_Geocoded,2025-12-16 09:57:42
024 Cité Mion,Cité Mion,43.6011431,3.8844511,GPS_Geocoded,2025-12-16 09:57:42
015 Les Aubes,Les Aubes,43.6192157,3.8913335,GPS_Geocoded,2025-12-16 09:57:42
034 Vert Bois,Vert Bois,43.6354897,3.8717793,GPS_Geocoded,2025-12-16 09:57:42
035 Malbosc,Malbosc,43.6333264,3.8310425,GPS_Geocoded,2025-12-16 09:57:42
061 Jean de Beins,Jean de Beins,43.6096975,3.8845248,GPS_Geocoded,2025-12-16 09:57:42
051 Pont de Lattes - Gare Saint-Roch,Pont de Lattes - Gare Saint-Roch,43.60438,3.88216,GPS_Geocoded,2025-12-16 09:57:42
036 Occitanie,Occitanie,43.6343515,3.8486697,GPS_Geocoded,2025-12-16 09:57:42
016 Antigone centre,Antigone centre,43.6079062,3.8904657,GPS_Geocoded,2025-12-16 09:57:42
044 Celleneuve,Celleneuve,43.6137045,3.8245262,GPS_Geocoded,2025-12-16 09:57:42
005 Corum,Corum,43.6141888,3.8818829,GPS_Geocoded,2025-12-16 09:57:42
021 Port Marianne,Port Marianne,43.6059165,3.9168169,GPS_Geocoded,2025-12-16 09:57:42
059 Sud De France,Sud De France,43.6092765,3.8895111,GPS_Geocoded,2025-12-16 09:57:42
020 Gambetta,Gambetta,43.6041258,3.8730462,GPS_Geocoded,2025-12-16 09:57:42
098 AtelierTAM,AtelierTAM,43.5934,3.8585,GPS_Geocoded,2025-12-16 09:57:42
045 Jardin de la Lironde,Jardin de la Lironde,43.6058517,3.9115715,GPS_Geocoded,2025-12-16 09:57:42
008 Halles Castellane,Halles Castellane,43.6101245,3.8768434,GPS_Geocoded,2025-12-16 09:57:42
055 Pérols Etang de l'Or,Pérols Etang de l'Or,43.5579564,3.9636474,GPS_Geocoded,2025-12-16 09:57:42
004 Hôtel de Ville,Hôtel de Ville,43.5985194,3.8966319,GPS_Geocoded,2025-12-16 09:57:42
043 Sabines,Sabines,43.583879,3.8601051,GPS_Geocoded,2025-12-16 09:57:42
060 Comedie Baudin,Comedie Baudin,43.6085548,3.8811936,GPS_Geocoded,2025-12-16 09:57:42
054 Providence - Ovalie,Providence - Ovalie,43.5882994,3.8534561,GPS_Geocoded,2025-12-16 09:57:42
033 Garcia Lorca,Garcia Lorca,43.5877543,3.8871086,GPS_Geocoded,2025-12-16 09:57:42
032 Prés d'Arènes,Prés d'Arènes,43.5936317,3.8877518,GPS_Geocoded,2025-12-16 09:57:42
042 Marie Caizergues,Marie Caizergues,43.619655,3.8733067,GPS_Geocoded,2025-12-16 09:57:42
55-053 Deux Ponts - Gare Saint-Roch,Deux Ponts - Gare Saint-Roch,43.60424,3.88339,GPS_Geocoded,2025-12-16 09:57:42
058 Perols etang or,Perols etang or,43.5584733,3.9633257,GPS_Geocoded,2025-12-16 09:57:42
