bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Comédie,43.6091864,3.8815041,Corum,43.6142561,3.881957,41131,0.5649028995060383,564.9028995060384,False,True
Comédie,43.6091864,3.8815041,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,0.6709995389970012,670.9995389970012,False,True
Comédie,43.6091864,3.8815041,Comédie,43.6084079,3.8797702,41133,0.16426155512414992,164.2615551241499,True,True
Comédie,43.6091864,3.8815041,Gare Saint-Roch,43.6056584,3.8801992,41135,0.4061208871206937,406.12088712069374,False,True
Comédie,43.6091864,3.8815041,Corum,43.6144182,3.8818054,42141,0.582255123239688,582.255123239688,False,True
Comédie,43.6091864,3.8815041,Beaux-Arts,43.6170502,3.8835972,42143,0.8905033007110563,890.5033007110563,False,False
Comédie,43.6091864,3.8815041,Place Carnot,43.6036345,3.8842954,42129,0.6569795234618288,656.9795234618288,False,True
Comédie,43.6091864,3.8815041,Voltaire,43.6037049,3.8892253,42131,0.870626770087026,870.6267700870261,False,False
Comédie,43.6091864,3.8815041,Les Aubes,43.6139508,3.8883314,42231,0.7634049039989436,763.4049039989436,False,True
Comédie,43.6091864,3.8815041,Antigone,43.6086092,3.8866898,41139,0.42241710576417324,422.41710576417324,False,True
Comédie,43.6091864,3.8815041,Léon Blum,43.6088993,3.8902941,41141,0.7084213259267248,708.4213259267248,False,True
Comédie,43.6091864,3.8815041,Rondelet,43.6030665,3.8761818,42125,0.8041897384817052,804.1897384817051,False,False
Comédie,43.6091864,3.8815041,Gare Saint-Roch République,43.6051723,3.8797962,43231,0.46704967244496914,467.04967244496913,False,True
Comédie,43.6091864,3.8815041,Observatoire,43.606427,3.8766896,43233,0.4943736116820851,494.3736116820851,False,True
Comédie,43.6091864,3.8815041,Rondelet,43.6031345,3.8759259,42245,0.8090554013607097,809.0554013607098,False,False
Comédie,43.6091864,3.8815041,Observatoire,43.6063438,3.8768143,43125,0.4924280338660476,492.4280338660476,False,True
Comédie,43.6091864,3.8815041,Gambetta,43.6055891,3.8739545,43123,0.7276566507073349,727.6566507073348,False,True
Comédie,43.6091864,3.8815041,Gambetta - Chaptal,43.6062372,3.8727299,43235,0.7788497176049713,778.8497176049714,False,True
Comédie,43.6091864,3.8815041,Gare Saint-Roch République,43.6052424,3.8797132,43127,0.46164957900403847,461.64957900403846,False,True
Comédie,43.6091864,3.8815041,Comédie,43.6083781,3.8798137,41223,0.16309799694137397,163.09799694137396,True,True
Comédie,43.6091864,3.8815041,Gare Saint-Roch,43.6056635,3.8802526,41221,0.4044806717376042,404.4806717376042,False,True
Comédie,43.6091864,3.8815041,Beaux-Arts,43.6169338,3.8834353,42227,0.8753888505561399,875.3888505561399,False,False
Comédie,43.6091864,3.8815041,Corum,43.6141886,3.881667,41225,0.5563738552213491,556.3738552213491,False,True
Comédie,43.6091864,3.8815041,Corum,43.6144479,3.8821386,42229,0.5872779568476997,587.2779568476997,False,True
Comédie,43.6091864,3.8815041,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,0.6811941924775423,681.1941924775423,False,True
Comédie,43.6091864,3.8815041,Les Aubes,43.61399,3.8881044,42139,0.7534373043184409,753.437304318441,False,True
Comédie,43.6091864,3.8815041,Du Guesclin,43.6071804,3.8833017,41138,0.26589735784235946,265.89735784235944,True,True
Comédie,43.6091864,3.8815041,Antigone,43.6084999,3.8866241,41217,0.419231782975197,419.23178297519695,False,True
Comédie,43.6091864,3.8815041,Du Guesclin,43.6070636,3.8831972,41218,0.27257920009868924,272.5792000986892,True,True
Comédie,43.6091864,3.8815041,Léon Blum,43.6089494,3.8900989,41215,0.6924870246993557,692.4870246993557,False,True
Comédie,43.6091864,3.8815041,Place Carnot,43.6037618,3.8842324,42241,0.641943104815094,641.943104815094,False,True
