station_name,station_id
Aiguelongue,BK001
Albert 1er - Cathédrale,BK002
Antigone centre,BK003
AtelierTAM,BK004
Beaux-Arts,BK005
Boutonnet,BK006
Celleneuve,BK007
Charles Flahault,BK008
Cité Mion,BK009
Comedie Baudin,BK010
Comédie,BK011
Corum,BK012
Deux Ponts - Gare Saint-Roch,BK013
Emile Combes,BK014
Euromédecine,BK015
Fac de Lettres,BK016
FacdesSciences,BK017
Foch,BK018
Gambetta,BK019
Garcia Lorca,BK020
Halles Castellane,BK021
Hôtel de Ville,BK022
Hôtel du Département,BK023
Jardin de la Lironde,BK024
Jean de Beins,BK025
Jeu de Mail des Abbés,BK026
Les Arceaux,BK027
Les Aubes,BK028
Louis Blanc,BK029
Malbosc,BK030
Marie Caizergues,BK031
Médiathèque Emile Zola,BK032
Nombre d'Or,BK033
Nouveau Saint-Roch,BK034
Observatoire,BK035
Occitanie,BK036
Parvis Jules Ferry - Gare Saint-Roch,BK037
Perols etang or,BK038
Place Albert 1er - St Charles,BK039
Place Viala,BK040
Plan Cabanes,BK041
Pont de Lattes - Gare Saint-Roch,BK042
Port Marianne,BK043
Providence - Ovalie,BK044
Prés d'Arènes,BK045
Père Soulas,BK046
Pérols Etang de l'Or,BK047
Renouvier,BK048
Richter,BK049
Rondelet,BK050
Rue Jules Ferry - Gare Saint-Roch,BK051
Sabines,BK052
Saint-Guilhem - Courreau,BK053
Sud De France,BK054
Tonnelles,BK055
Vert Bois,BK056
Voltaire,BK057
