tram_id,tram_name,latitude,longitude,tram_line,network,operator,shelter,bench,osm_id,source,data_retrieved,last_updated,data_version
TR0001,Croix d'Argent,43.5925048,3.8664382,42115,TaM,TaM,unknown,unknown,38460665,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0002,Corum,43.6142561,3.881957,41131,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60025037,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0003,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60025046,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0004,Stade Philippidès,43.6189067,3.8694871,41125,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60025062,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0005,Saint-Éloi,43.6269229,3.8657829,41121,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60025069,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0006,Malbosc - Domaine d'Ô,43.6346401,3.8332043,41245,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60025122,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0007,Rives du Lez,43.6040961,3.8948979,41145,TaM,TaM,unknown,unknown,60722751,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0008,Moularès (Hôtel de Ville),43.6005714,3.8955449,41147,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60732076,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0009,Comédie,43.6084079,3.8797702,41133,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,60939764,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0010,Gare Saint-Roch,43.6056584,3.8801992,41135,TaM,TaM,unknown,unknown,61094962,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0011,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,61103414,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
