stop_id,name,latitude,longitude,line,network,operator,shelter,bench,source,data_retrieved
38460665,Croix d'Argent,43.5925048,3.8664382,42115,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60025037,Corum,43.6142561,3.881957,41131,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60025046,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60025062,Stade Philippidès,43.6189067,3.8694871,41125,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60025069,Saint-Éloi,43.6269229,3.8657829,41121,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60025122,Malbosc - Domaine d'Ô,43.6346401,3.8332043,41245,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60722751,Rives du Lez,43.6040961,3.8948979,41145,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60732076,Moularès (Hôtel de Ville),43.6005714,3.8955449,41147,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
60939764,Comédie,43.6084079,3.8797702,41133,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
61094962,Gare Saint-Roch,43.6056584,3.8801992,41135,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
61103414,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
70972317,Corum,43.6144182,3.8818054,42141,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
74943027,Aiguelongue,43.626274,3.8833184,42147,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
101499645,Charles de Gaulle,43.6285691,3.8976846,42219,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
119409072,Saint-Lazare,43.6267745,3.8887704,42149,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
126601804,Boutonnet  - Cité des Arts,43.6224984,3.8681444,41123,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
148694939,Jeu de Mail des Abbés,43.6204816,3.8840706,42145,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
224660817,Beaux-Arts,43.6170502,3.8835972,42143,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231389156,Place Carnot,43.6036345,3.8842954,42129,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231389166,Voltaire,43.6037049,3.8892253,42131,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231454791,Rives du Lez - Consuls de Mer,43.603993,3.8940022,42133,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231454841,Les Aubes,43.6139508,3.8883314,42231,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231529652,Saint-Cléophas,43.594954,3.8760145,42121,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231532087,Mas Drevon,43.5955627,3.8679574,42117,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231578457,Saint-Jean-de-Védas Centre,43.5748738,3.8306564,42101,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231578469,Saint-Jean-le-Sec,43.5708282,3.8379052,42103,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231578480,La Condamine,43.5719919,3.8444363,42105,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
231578510,Sabines,43.583879,3.8601051,42111,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
250677074,Pompignane,43.6125111,3.8949065,42233,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
265410397,Antigone,43.6086092,3.8866898,41139,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
267847611,Léon Blum,43.6088993,3.8902941,41141,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
267929741,Place de l'Europe,43.6072981,3.8939097,41143,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
279249812,Victoire 2,43.5752209,3.8499642,42107,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
279556951,Rondelet,43.6030665,3.8761818,42125,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
281177110,Port Marianne,43.6016281,3.8997688,41149,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
281177205,Place de France,43.6037495,3.9157023,41261,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
281259064,Lemasson,43.59358,3.8731927,42119,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
281259065,Villeneuve d'Angoulême,43.5888673,3.865695,42113,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
281570631,Stade de la Mosson,43.6211235,3.8173578,41263,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
308531607,Jacou,43.6545596,3.9128047,42169,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
308734763,Via Domitia,43.6468218,3.9294517,42165,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
308735605,Aube Rouge,43.638641,3.9248354,42163,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317827428,Millénaire,43.6033557,3.9100221,41153,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317827455,Mondial 98,43.6027649,3.9041182,41151,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317829490,Université Montpellier - Triolet,43.6291563,3.8616709,41119,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317829573,Hôpital Lapeyronie,43.6316941,3.8525865,41239,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317829604,Occitanie - Hôpitaux-Facultés,43.6347952,3.8483979,41241,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317830323,Château d'Ô,43.6316074,3.8430532,41243,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317830790,Euromédecine,43.6389849,3.8276286,41247,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317830908,Hauts de Massane,43.6362734,3.8226703,41249,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317831067,Saint-Paul,43.6306907,3.8210039,41251,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
317831124,Halles de la Paillade,43.6275357,3.8174933,41253,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
350510758,Nouveau Saint-Roch,43.5994208,3.8756775,42123,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
368004431,Georges Pompidou,43.6493853,3.9209977,42167,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
945144528,Notre-Dame de Sablassou,43.6342577,3.9223924,42159,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
945144532,Centurions,43.6327809,3.9156202,42213,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
945144547,La Galine,43.6314427,3.9089161,42215,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
945144550,Clairval,43.6301628,3.9025061,42217,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
947038576,Odysseum,43.603795,3.9204329,41201,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1253673426,Gare Saint-Roch République,43.6051723,3.8797962,43231,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1325372165,Georges Frêche - Hôtel de ville,43.5994093,3.8949293,43217,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1325390524,Mosson,43.6161429,3.8196447,43103,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1433104540,Pergola,43.6174105,3.8397593,43111,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1503531720,Pérols Étang de l'Or,43.5579423,3.9636059,43157,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1503531737,Écopôle,43.5779836,3.9352762,43151,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1504387689,Tonnelles,43.6134871,3.8397933,43113,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1504405475,Jules Guesde,43.6113243,3.8467949,43115,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1504405479,Astruc,43.6102597,3.855048,43117,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506442723,La Rauze,43.5935375,3.8958178,43219,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506442726,Garcia Lorca,43.5911314,3.8909614,44105,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506452485,Observatoire,43.606427,3.8766896,43233,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506452489,Plan Cabanes,43.6085497,3.8680755,43121,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506744094,Hôtel du Département,43.6220087,3.8351279,43109,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506752860,Pilory,43.6195923,3.8321502,43107,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1506752868,Celleneuve,43.6156769,3.8259015,43105,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1508371545,Parc Expo,43.5728456,3.9457963,43153,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1508371563,Boirargues,43.5827358,3.9256144,43209,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1508371591,Pérols - Centre,43.5654383,3.9573953,43203,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1540197414,Saint-Jean-de-Védas Centre,43.5749282,3.8307161,42269,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1540200957,Saint-Jean-le-Sec,43.5708971,3.837919,42267,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1540210571,Sabines,43.5837056,3.8602074,42259,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547362409,Villeneuve d'Angoulême,43.5887133,3.8656566,42257,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547373347,Croix d'Argent,43.5923385,3.8664466,42255,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547375469,Mas Drevon,43.5954543,3.8677984,42253,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547384911,Saint-Cléophas,43.5948469,3.8758854,42249,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547384953,Lemasson,43.5936982,3.8730593,42251,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547396442,Nouveau Saint-Roch,43.5992903,3.8756446,42247,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547396457,Rondelet,43.6031345,3.8759259,42245,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547402817,Jacou,43.6544887,3.9128035,42201,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547404590,Georges Pompidou,43.6492338,3.9210436,42203,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547411650,Via Domitia,43.6466173,3.9294866,42205,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547420308,Aube Rouge,43.6384876,3.9248573,42207,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547429119,Notre-Dame de Sablassou,43.6342103,3.9221379,42211,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547440719,Centurions,43.6327881,3.9158063,42157,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547443496,La Galine,43.6314509,3.90911,42155,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547447278,Clairval,43.6301681,3.9026917,42153,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1547454806,Charles de Gaulle,43.628648,3.8978384,42151,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1585675583,Observatoire,43.6063438,3.8768143,43125,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1623916533,La Rauze,43.5935183,3.8960726,43139,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1623916618,Saint-Martin - Le Jam,43.5921013,3.8804566,43133,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1623916826,Georges Frêche - Hôtel de ville,43.5994861,3.8950854,43141,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1675121446,Gambetta,43.6055891,3.8739545,43123,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1675121448,Gambetta - Chaptal,43.6062372,3.8727299,43235,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1680725835,Cougourlude,43.5713259,3.9141537,43261,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1680783342,Pablo Picasso,43.5979503,3.9035259,43213,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1680783344,Pablo Picasso,43.5975961,3.9035645,43145,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1680783345,Gare Saint-Roch République,43.6052424,3.8797132,43127,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1681472362,Garcia Lorca,43.5912294,3.8911652,44201,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1682209623,Arceaux,43.609864,3.8624768,43119,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1934914134,Restanque,43.590299,3.8852278,43135,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
1934914135,Restanque,43.5904199,3.8849928,43223,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2187320583,Cougourlude,43.5713482,3.9139627,43161,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2305432920,Comédie,43.6083781,3.8798137,41223,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2305432922,Gare Saint-Roch,43.6056635,3.8802526,41221,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2564554951,Celleneuve,43.6154832,3.8258568,43253,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2564674976,Saint-Martin - Le Jam,43.5922458,3.8802527,43225,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2565144095,Moularès (Hôtel de Ville),43.6006479,3.8955356,41209,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2572111087,Mondial 98,43.6027593,3.903967,41205,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575419127,Jules Guesde,43.6114471,3.8466375,43243,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575419150,Hôtel du Département,43.6219189,3.8349511,43249,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575419210,Pergola,43.6182507,3.8391413,43247,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575419232,Pilory,43.6195151,3.8319619,43251,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575419253,Astruc,43.610261,3.8548,43241,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575586331,Rives du Lez,43.6043283,3.8948981,41211,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575586432,Place de l'Europe,43.6073923,3.8939694,41213,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575611355,Place de France,43.6037388,3.9157934,41161,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2575611364,Odysseum,43.6038356,3.9203673,41155,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2577354970,Malbosc - Domaine d'Ô,43.6345296,3.833307,41111,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2577355001,Hauts de Massane,43.6364094,3.822705,41107,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2577355086,Saint-Paul,43.6306548,3.8212159,41105,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2577880057,Occitanie - Hôpitaux-Facultés,43.634628,3.8484797,41115,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2998606177,Château d'Ô,43.6316307,3.8430936,41113,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
2998606178,Hôpital Lapeyronie,43.6316751,3.8525608,41117,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400912,Aiguelongue,43.6262919,3.8830851,42223,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400913,Beaux-Arts,43.6169338,3.8834353,42227,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400914,Corum,43.6141886,3.881667,41225,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400915,Corum,43.6144479,3.8821386,42229,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400916,Jeu de Mail des Abbés,43.6203407,3.884074,42225,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400917,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118400918,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118402938,Saint-Lazare,43.6267545,3.8885806,42221,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118523797,Les Aubes,43.61399,3.8881044,42139,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
