Station_Name,Stress_Index,Population_300m,PageRank,Betweenness
Halles Castellane,0.7395184242269427,6760.0,0.0222140192279347,4.6382189239332094e-05
Louis Blanc,0.626218632545645,4874.0,0.0298101534271612,0.0
Rue Jules Ferry - Gare Saint-Roch,0.5976630139022618,4712.0,0.0277319755818361,0.001734693877551
Saint-Guilhem - Courreau,0.5946410126766755,5359.0,0.019334730064964,0.0
Comédie,0.5677514792899407,3242.0,0.0419363725921329,0.0
Antigone centre,0.5436540255628128,4557.0,0.0217683213636507,0.0079046846011131
Parvis Jules Ferry - Gare Saint-Roch,0.543551411402064,4712.0,0.0194500415998544,0.0152427334570191
Place Albert 1er - St Charles,0.5371285786604585,3387.0,0.0358063788136504,0.0004870129870129
Médiathèque Emile Zola,0.5212013770224266,3621.0,0.030679878983782,0.0
Foch,0.4963092188267349,4371.0,0.0178386010552725,5.156608097784568e-05
Plan Cabanes,0.49231134811725913,3605.0,0.0268238105335018,0.0
Pont de Lattes - Gare Saint-Roch,0.4771996266716556,4441.0,0.0141828659625553,0.0020420110192837
Renouvier,0.47538163021348434,4022.0,0.0192463082664609,0.0001082251082251
Gambetta,0.45774475996971387,4323.0,0.01300725562498,0.0003652597402597
Nombre d'Or,0.45769798210007817,3580.0,0.0218855970191643,0.0076959647495361
Rondelet,0.43854872757353913,3921.0,0.0140200820755805,0.0259843682652124
Voltaire,0.4299771636787826,3845.0,0.0149806849586974,0.0020238577259681
Corum,0.42893433856339047,2617.0,0.0302370525897242,0.0
Tonnelles,0.42160707953296206,4062.0,0.0111801369841002,0.0004870129870129
Comedie Baudin,0.3974930402111833,3907.0,0.0096960994212464,0.001082251082251
Emile Combes,0.39711182180877014,3706.0,0.0101534991302578,0.0403309741728859
Fac de Lettres,0.3913701319325812,2161.0,0.0306454246440604,0.0
Boutonnet,0.3898470149272544,1514.0,0.0382670420254667,0.0044441574839302
Observatoire,0.37528190492042124,2414.0,0.0252348603431521,0.0
Cité Mion,0.36934122385202517,3284.0,0.0084876999897649,0.0998977443011533
Sabines,0.35424834115413883,3230.0,0.0118409055738744,0.0054073375217855
Hôtel de Ville,0.3346673769157267,2187.0,0.0223618765905727,0.0
Père Soulas,0.3283319314256786,2126.0,0.0206657746860568,0.0308489604254501
Marie Caizergues,0.3274718468416934,2799.0,0.0094145653121923,0.0849040957239009
Prés d'Arènes,0.3219023273728444,2885.0,0.0091712753974866,0.0532037629101227
Vert Bois,0.31292858992714456,1940.0,0.0219289500714385,0.0090334034652216
Albert 1er - Cathédrale,0.3102903608262262,2451.0,0.0155254029401721,0.0024675676055546
Les Arceaux,0.3086483328774593,2494.0,0.01441635347429,0.0092171424354865
Providence - Ovalie,0.3079947569575107,2583.0,0.0067900437030174,0.1357349152841895
Richter,0.30465645290542975,1905.0,0.0203428642363054,0.0259852494186909
Celleneuve,0.30368991954994,2740.0,0.0101825107966411,0.0185269150041877
Occitanie,0.2956011495137362,1315.0,0.0276856548112712,0.0011183261183261
Beaux-Arts,0.28750640085056944,2548.0,0.0098298843674716,0.0278410420642086
Sud De France,0.28678972276132975,2489.0,0.0090270006878203,0.0561420726639882
Nouveau Saint-Roch,0.28668470061095136,2224.0,0.0146963158085309,0.0092350121866928
Malbosc,0.2842217148024617,2517.0,0.0087559300159315,0.0475128015817473
Les Aubes,0.2750361632465146,1976.0,0.0109629075289189,0.1113863599317667
Charles Flahault,0.2716698011304005,2035.0,0.013509093642374,0.0374757781900639
Place Viala,0.26197913503970954,1578.0,0.0196834601916985,0.0012314471243042
Jeu de Mail des Abbés,0.24532149360300326,2104.0,0.0103031541238087,0.0108484075448361
55-053 Deux Ponts - Gare Saint-Roch,0.2256410518941182,2532.5,0.0026619074817569,0.0017879279811097
FacdesSciences,0.22471884827980218,181.0,0.0319211966660558,0.0
Euromédecine,0.21301686796114003,829.0,0.0053600315751113,0.3316656095315856
AtelierTAM,0.19925427546815927,1665.0,0.0085681043164056,0.0253793668876747
Hôtel du Département,0.19923839950420805,1204.0,0.0084998066277726,0.1397703485134253
Pérols Etang de l'Or,0.19852011871088443,469.0,0.0246553041260232,0.0
Port Marianne,0.19696755667427432,0.0,0.0301387184816714,0.0027966000449766
Jean de Beins,0.19570744795953338,1305.0,0.0065990500965287,0.1426591159084951
Jardin de la Lironde,0.1931824891241149,1364.0,0.0114121828940022,0.0264393315866291
Aiguelongue,0.13615234950720279,572.0,0.0137823505290674,0.0164370910209813
Garcia Lorca,0.12507547088068438,607.0,0.0120569520194092,0.0112079096048251
Perols etang or,0.03994082840236687,450.0,0.0026315789473684,0.0
