Station_Raw,Station_Name,Latitude,Longitude,Population_300m
002 Comédie,Comédie,43.6091864,3.8815041,3242.0
001 Rue Jules Ferry - Gare Saint-Roch,Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,4712.0
007 Foch,Foch,43.6109947,3.8733344,4371.0
038 Fac de Lettres,Fac de Lettres,43.6353331,3.8687709,2161.0
057 Saint-Guilhem - Courreau,Saint-Guilhem - Courreau,43.6089424,3.8727765,5359.0
006 Place Albert 1er - St Charles,Place Albert 1er - St Charles,43.6166028,3.8739949,3387.0
047 Place Viala,Place Viala,43.6168167,3.8550842,1578.0
023 Les Arceaux,Les Arceaux,43.6126513,3.8632773,2494.0
041 Euromédecine,Euromédecine,43.6419736,3.8375497,829.0
037 FacdesSciences,FacdesSciences,43.633469,3.863365,181.0
056 Albert 1er - Cathédrale,Albert 1er - Cathédrale,43.6148176,3.8737832,2451.0
030 Charles Flahault,Charles Flahault,43.6187686,3.8659891,2035.0
017 Médiathèque Emile Zola,Médiathèque Emile Zola,43.6082468,3.8930561,3621.0
018 Nombre d'Or,Nombre d'Or,43.6079002,3.8866534,3580.0
012 Boutonnet,Boutonnet,43.6199984,3.8678033,1514.0
009 Observatoire,Observatoire,43.6145267,3.8710807,2414.0
025 Nouveau Saint-Roch,Nouveau Saint-Roch,43.5992903,3.8756446,2224.0
010 Rondelet,Rondelet,43.6041463,3.8748308,3921.0
011 Plan Cabanes,Plan Cabanes,43.6084996,3.868611,3605.0
049 Tonnelles,Tonnelles,43.6151527,3.8394759,4062.0
014 Beaux-Arts,Beaux-Arts,43.6169338,3.8834353,2548.0
050 Parvis Jules Ferry - Gare Saint-Roch,Parvis Jules Ferry - Gare Saint-Roch,43.605325,3.881229,4712.0
019 Louis Blanc,Louis Blanc,43.614645,3.8776294,4874.0
026 Renouvier,Renouvier,43.6031881,3.8678316,4022.0
046 Père Soulas,Père Soulas,43.6219699,3.855618,2126.0
039 Aiguelongue,Aiguelongue,43.636472,3.8823753,572.0
040 Jeu de Mail des Abbés,Jeu de Mail des Abbés,43.6204066,3.8840474,2104.0
031 Voltaire,Voltaire,43.6037185,3.8889694,3845.0
048 Hôtel du Département,Hôtel du Département,43.6218482,3.8350214,1204.0
029 Richter,Richter,43.6056173,3.8995795,1905.0
013 Emile Combes,Emile Combes,43.6167422,3.8799722,3706.0
024 Cité Mion,Cité Mion,43.6011431,3.8844511,3284.0
015 Les Aubes,Les Aubes,43.6192157,3.8913335,1976.0
034 Vert Bois,Vert Bois,43.6354897,3.8717793,1940.0
035 Malbosc,Malbosc,43.6333264,3.8310425,2517.0
061 Jean de Beins,Jean de Beins,43.6096975,3.8845248,1305.0
051 Pont de Lattes - Gare Saint-Roch,Pont de Lattes - Gare Saint-Roch,43.60438,3.88216,4441.0
036 Occitanie,Occitanie,43.6343515,3.8486697,1315.0
016 Antigone centre,Antigone centre,43.6079062,3.8904657,4557.0
044 Celleneuve,Celleneuve,43.6137045,3.8245262,2740.0
005 Corum,Corum,43.6141888,3.8818829,2617.0
021 Port Marianne,Port Marianne,43.6059165,3.9168169,0.0
059 Sud De France,Sud De France,43.6092765,3.8895111,2489.0
020 Gambetta,Gambetta,43.6041258,3.8730462,4323.0
098 AtelierTAM,AtelierTAM,43.5934,3.8585,1665.0
045 Jardin de la Lironde,Jardin de la Lironde,43.6058517,3.9115715,1364.0
008 Halles Castellane,Halles Castellane,43.6101245,3.8768434,6760.0
055 Pérols Etang de l'Or,Pérols Etang de l'Or,43.5579564,3.9636474,469.0
004 Hôtel de Ville,Hôtel de Ville,43.5985194,3.8966319,2187.0
043 Sabines,Sabines,43.583879,3.8601051,3230.0
060 Comedie Baudin,Comedie Baudin,43.6085548,3.8811936,3907.0
054 Providence - Ovalie,Providence - Ovalie,43.5882994,3.8534561,2583.0
033 Garcia Lorca,Garcia Lorca,43.5877543,3.8871086,607.0
032 Prés d'Arènes,Prés d'Arènes,43.5936317,3.8877518,2885.0
042 Marie Caizergues,Marie Caizergues,43.619655,3.8733067,2799.0
55-053 Deux Ponts - Gare Saint-Roch,Deux Ponts - Gare Saint-Roch,43.60424,3.88339,4315.0
058 Perols etang or,Perols etang or,43.5584733,3.9633257,450.0
