Station_ID,Name,Latitude,Longitude,Demand,Capacity,Contagion_Potential
001 Rue Jules Ferry - Gare Saint-Roch,Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,2424,23,4852960626.729494
050 Parvis Jules Ferry - Gare Saint-Roch,Parvis Jules Ferry - Gare Saint-Roch,43.605325,3.881229,1594,23,3191506881.7808623
002 Comédie,Comédie,43.6091864,3.8815041,3708,19,9913746.663561597
006 Place Albert 1er - St Charles,Place Albert 1er - St Charles,43.6166028,3.8739949,3344,20,6701755.627002486
012 Boutonnet,Boutonnet,43.6199984,3.8678033,3571,14,5476778.24760453
019 Louis Blanc,Louis Blanc,43.614645,3.8776294,2725,24,4629798.471163304
005 Corum,Corum,43.6141888,3.8818829,2720,17,4082664.8190148324
009 Observatoire,Observatoire,43.6145267,3.8710807,2178,17,3968506.741371586
017 Médiathèque Emile Zola,Médiathèque Emile Zola,43.6082468,3.8930561,2729,20,3814361.968324809
016 Antigone centre,Antigone centre,43.6079062,3.8904657,1861,23,3555133.275614825
051 Pont de Lattes - Gare Saint-Roch,Pont de Lattes - Gare Saint-Roch,43.60438,3.88216,1124,23,3284278.3034419375
055 Pérols Etang de l'Or,Pérols Etang de l'Or,43.5579564,3.9636474,1922,11,3261307.311927957
018 Nombre d'Or,Nombre d'Or,43.6079002,3.8866534,1874,20,2821511.1337679513
057 Saint-Guilhem - Courreau,Saint-Guilhem - Courreau,43.6089424,3.8727765,1619,25,2666710.2014881875
011 Plan Cabanes,Plan Cabanes,43.6084996,3.868611,2328,20,2500766.3922796333
008 Halles Castellane,Halles Castellane,43.6101245,3.8768434,1888,30,2484163.8196123275
007 Foch,Foch,43.6109947,3.8733344,1482,22,2385367.60896394
056 Albert 1er - Cathédrale,Albert 1er - Cathédrale,43.6148176,3.8737832,1280,17,2273044.682249722
060 Comedie Baudin,Comedie Baudin,43.6085548,3.8811936,687,21,2047378.3040180895
038 Fac de Lettres,Fac de Lettres,43.6353331,3.8687709,2795,16,1974481.2604044308
031 Voltaire,Voltaire,43.6037185,3.8889694,1182,21,1783906.3095287818
037 FacdesSciences,FacdesSciences,43.633469,3.863365,2940,10,1625682.168993784
010 Rondelet,Rondelet,43.6041463,3.8748308,1090,21,1535662.5057367792
026 Renouvier,Renouvier,43.6031881,3.8678316,1617,21,1509065.4655150247
020 Gambetta,Gambetta,43.6041258,3.8730462,993,22,1425656.2311215552
004 Hôtel de Ville,Hôtel de Ville,43.5985194,3.8966319,1881,16,1362017.0430368586
030 Charles Flahault,Charles Flahault,43.6187686,3.8659891,1083,16,1294444.1782794357
034 Vert Bois,Vert Bois,43.6354897,3.8717793,1909,15,1273057.9465500596
046 Père Soulas,Père Soulas,43.6219699,3.855618,1789,16,1226880.082490226
029 Richter,Richter,43.6056173,3.8995795,1651,15,1207453.8259952017
025 Nouveau Saint-Roch,Nouveau Saint-Roch,43.5992903,3.8756446,1129,16,1204322.1416260954
059 Sud De France,Sud De France,43.6092765,3.8895111,610,17,1071268.3229977675
021 Port Marianne,Port Marianne,43.6059165,3.9168169,2622,10,1061507.1892286192
047 Place Viala,Place Viala,43.6168167,3.8550842,1674,14,945181.0574904843
013 Emile Combes,Emile Combes,43.6167422,3.8799722,727,20,923023.715140126
014 Beaux-Arts,Beaux-Arts,43.6169338,3.8834353,703,17,919190.2684628497
042 Marie Caizergues,Marie Caizergues,43.619655,3.8733067,665,18,896965.6073336888
023 Les Arceaux,Les Arceaux,43.6126513,3.8632773,1165,17,849963.8237365531
036 Occitanie,Occitanie,43.6343515,3.8486697,2460,13,795060.7105440247
024 Cité Mion,Cité Mion,43.6011431,3.8844511,557,19,737412.4088821274
040 Jeu de Mail des Abbés,Jeu de Mail des Abbés,43.6204066,3.8840474,760,16,707744.9996906209
061 Jean de Beins,Jean de Beins,43.6096975,3.8845248,395,13,655254.6190414147
015 Les Aubes,Les Aubes,43.6192157,3.8913335,822,15,443494.73683508794
033 Garcia Lorca,Garcia Lorca,43.5877543,3.8871086,898,11,391236.22252601065
045 Jardin de la Lironde,Jardin de la Lironde,43.6058517,3.9115715,839,14,388622.23009815376
039 Aiguelongue,Aiguelongue,43.636472,3.8823753,1111,11,370441.11623327504
032 Prés d'Arènes,Prés d'Arènes,43.5936317,3.8877518,625,18,359549.74670754245
049 Tonnelles,Tonnelles,43.6151527,3.8394759,808,22,322234.8185937782
043 Sabines,Sabines,43.583879,3.8601051,863,19,314309.399160978
098 AtelierTAM,AtelierTAM,43.5934,3.8585,628,14,268415.4305905691
048 Hôtel du Département,Hôtel du Département,43.6218482,3.8350214,563,13,216906.4770549087
035 Malbosc,Malbosc,43.6333264,3.8310425,583,17,192176.08933384903
044 Celleneuve,Celleneuve,43.6137045,3.8245262,720,18,183533.7666229167
054 Providence - Ovalie,Providence - Ovalie,43.5882994,3.8534561,393,17,154473.14742231063
041 Euromédecine,Euromédecine,43.6419736,3.8375497,265,12,85408.27471191404
058 Perols etang or,Perols etang or,43.5584733,3.9633257,39,11,66193.1441994445
55-053 Deux Ponts - Gare Saint-Roch,Deux Ponts - Gare Saint-Roch,43.60424,3.88339,9,22,23548.531621383514
