nom,type,densite_hab_km2,usage_velo_%
Paillade,sous-quartier,5043.478260869566,1.38496146801579
Mosson,quartier,5639.60396039604,3.53234347806724
Hauts de Massane,sous-quartier,6692.763157894737,4.11116063113656
Comédie,sous-quartier,12758.689755882351,5.25139738562465
Celleneuve,sous-quartier,5697.402597402597,5.96762426114621
Millénaire-Grammont,sous-quartier,995.0124688279302,6.00298033319719
Port Marianne,sous-quartier,173.7862382116661,6.10285855284742
Port Marianne,quartier,1598.02513464991,6.70210386871278
Gares,sous-quartier,14189.285714285714,7.03925733781864
Antigone,sous-quartier,7837.5,7.15210872361349
