nom,type,densite_hab_km2,usage_velo_%
Arceaux,sous-quartier,7836.206896551725,16.683768843464588
Aubes,sous-quartier,5091.566265060241,15.00155586683079
Figuerolles,sous-quartier,,13.097883436691978
Gambetta,sous-quartier,,11.03194141645296
Boutonnet,sous-quartier,,10.94060531651642
Beaux Arts,sous-quartier,7780.672268907563,10.41059706122083
Centre,quartier,9340.760691066997,10.23563559744178
Cévennes,sous-quartier,4971.022727272727,9.66702705206399
Chamberte,sous-quartier,5041.343280833334,9.58383517980786
Pompignane,sous-quartier,1569.1056910569107,9.53381053407015
