numero,nom,type,population_2009,surface_km2,densite_hab_km2,nb_menages,transport_pas_de_transport_nb,transport_pas_de_transport_pct,transport_marche_a_pied_nb,transport_marche_a_pied_pct,transport_deux_roues_velo_nb,transport_deux_roues_velo_pct,transport_voiture_camion_nb,transport_voiture_camion_pct,transport_transport_commun_nb,transport_transport_commun_pct,equipement_pas_de_voiture_nb,equipement_pas_de_voiture_pct,equipement_une_voiture_nb,equipement_une_voiture_pct,equipement_deux_voitures_ou_plus_nb,equipement_deux_voitures_ou_plus_pct
,Centre,quartier,75286.53117,8.06,9340.760691066997,42792.88201200001,1149.859191,0.04057046748663932,6155.378114000001,0.21718012918158106,2901.0115969999993,0.1023563559744178,12067.553094000003,0.4257793252212399,6068.469174000001,0.21411372213612195,16898.071040000017,0.39488041574908295,21223.239064,0.49595255253078224,4675.571909,0.10926050523282992
,Croix d'Argent,quartier,,7.91,4299.494310998735,15781.988142,330.560722,0.025037268719811843,890.057238,0.06741454976559352,1070.251783,0.08106281147591622,8754.603906,0.6630895806490777,2157.273252,0.16339578938960075,3151.4324309999956,0.19968538834554117,9205.71945,0.5833054344719201,3421.836261,0.21681908706379002
,Cévennes,quartier,,8.26,5218.886198547216,20862.922769,466.241246,0.02857387539558273,1011.2134880000002,0.061972827269864916,1352.452918,0.08288589113225787,10984.923832999999,0.6732176690221632,2502.214752,0.15334973718013128,4085.0770230000016,0.1958055958041495,12203.605832,0.5849422905468072,4574.054855,0.21924324341537327
,Hôpitaux-Facultés,quartier,39612.0,12.82,3089.8595943837754,20904.932461,368.3782959999999,0.024589113459452475,1214.5536829999999,0.08107100401453314,1168.792354,0.07801645242163384,9487.899186000002,0.6333137215456387,2741.7338449999997,0.1830097085587417,5259.19642,0.2515768194808329,11857.581336000001,0.5672145249988905,3796.3645380000003,0.18160137781274605
,Mosson,quartier,,5.05,5639.60396039604,25145.177219000005,205.683087,0.027425630555918935,314.408861,0.0419230447727249,264.91398599999997,0.035323434780672465,4931.682239000001,0.6575868588845185,1782.9784829999999,0.23774103100616525,2672.413971000001,0.10627938501784319,5923.2092760000005,0.23556045059504893,1660.0994120000005,0.06602058905934491
,Port Marianne,quartier,17802.0,11.14,1598.0251346499101,9576.408838,219.49631700000003,0.027332416781122484,841.455024,0.10478079875270717,538.2206510000001,0.0670210386871278,4964.114299,0.6181481440046106,1467.3360559999999,0.18271760177443191,2100.2868560000006,0.2193188377323538,5739.069312,0.5992924288306163,1737.052668,0.18138873322818344
,Près d'Arènes,quartier,,4.02,4174.626865671642,8056.353725,122.70147600000001,0.019253461825883264,493.84216200000003,0.07749027578183866,557.8987010000001,0.08754158216004966,4123.530605,0.647035729963255,1074.983624,0.1686789502689735,1715.060386000001,0.21288295481340735,4660.230925,0.5784541101439783,1681.0624119999998,0.20866293479436315
01,Hôpitaux-Facultés,sous-quartier,27726.0,6.51,4258.9861751152075,14568.439568,245.06037599999996,0.024291423541029148,871.705889,0.08640718380726038,751.458885,0.07448779091567426,6244.552276000001,0.6189864989043091,1975.572299,0.19582710283172697,4123.744213,0.28306011730027175,8098.729663,0.5559092053200464,2345.9656950000003,0.1610306775856065
02,Aiguelongue,sous-quartier,,4.02,2399.253731343284,5276.457747,114.71851,0.028413103377371487,294.361243,0.07290642484504523,343.21448999999996,0.08500623643893065,2610.370755,0.6465280460414127,674.856299,0.16714618929724004,1010.8812549999993,0.1915833127963072,3066.685546,0.5812015736776448,1204.100774,0.22820248578406743
03,Plan des 4 seigneurs,sous-quartier,,2.29,978.6026200873363,1060.035146,8.59941,0.010052071643710709,48.486551,0.0566771772026724,74.118979,0.08663958190930417,632.976155,0.7399021164033966,91.305247,0.10672905284091608,124.57095199999992,0.11751586961060999,692.166127,0.6529652621536758,246.298069,0.23234896496535598
04,Paillade,sous-quartier,,2.76,5043.478260869566,4631.133970000001,105.140116,0.036771053810812346,137.703856,0.048159694810802324,39.600445,0.013849614680157997,1765.350903,0.6174029049880367,811.522135,0.2838167317101906,1457.6459949999999,0.31474926107568413,2513.697127,0.542782209127066,656.790846,0.14182073985650642
05,Hauts de Massane,sous-quartier,10173.0,1.52,6692.763157894737,3231.5903700000003,68.046004,0.024479173647957788,88.45705199999999,0.03182193529387018,114.280023,0.041111606311365616,1844.662515,0.663607138878626,664.3052660000001,0.23898014586818045,718.9929240000001,0.22248888060648603,1839.903693,0.5693492931778974,672.693755,0.20816182683450685
06,Celleneuve,sous-quartier,,0.77,5697.402597402597,2395.9983190000003,32.496967,0.0174658690615268,88.24795300000001,0.04742987836513394,111.03351799999999,0.05967624261146214,1321.6688210000002,0.7103461246179839,307.151082,0.1650818853438932,495.7750520000004,0.206917946506289,1569.608456,0.6550958085208906,330.61481100000003,0.13798624497282044
07,Alco,sous-quartier,,2.12,9984.433962264151,10126.679474,212.091363,0.028801958369790617,433.329591,0.05884605890519169,528.049364,0.07170898231778731,4907.344973,0.6664163199259899,1282.967417,0.17422668048124051,2408.353156,0.2378225915200918,5852.3601739999995,0.5779150203209048,1868.7810869999998,0.18454036111225294
08,Cévennes,sous-quartier,,1.76,4971.022727272727,4759.775086,111.78092,0.03141237290542044,379.860657,0.10674741816207996,344.00113,0.09667027052063996,2219.4635470000003,0.6237076648532787,503.39346,0.1414622735585809,883.3863529999999,0.18559413775628136,3082.104442,0.6475315296021952,791.2842880000001,0.1662440501290527
09,Martelle,sous-quartier,7142.055199,3.18,2245.929307861635,3006.8861240000006,80.293721,0.026256333289026962,84.07834199999999,0.027493917861158703,256.457598,0.08386254969540265,2323.107719,0.759664513945931,314.133224,0.10272268520848053,226.91011100000014,0.07546348669105771,1593.912735,0.5300874955915025,1186.063278,0.3944490177174398
10,Chamberte,sous-quartier,6049.611937,1.2,5041.343280833334,2969.582086,62.075242,0.026565422327492694,113.944898,0.048763311102888285,223.94482599999998,0.09583835179807862,1535.0075940000002,0.6569144750256221,401.720651,0.17191843974591833,566.4274029999997,0.19074313711360383,1675.2284809999999,0.5641293732534995,727.926202,0.24512748963289646
11,Estanove,sous-quartier,7764.658856,1.43,5429.831367832168,3988.180898999999,92.807675,0.029103087927810682,292.843401,0.09183127632905491,292.396387,0.09169109947679607,2169.323234,0.6802670665216495,341.558094,0.10710746974468895,646.4463899999996,0.1620905386117491,2461.5989879999997,0.6172235037325473,880.1355209999999,0.22068595765570365
12,Lemasson,sous-quartier,,1.22,8659.016393442624,5356.55486,116.581491,0.030733733122680722,326.805349,0.0861538850899628,281.903342,0.0743166175445448,2310.2395260000003,0.6090356576547166,757.74495,0.1997601065880951,1402.11461,0.26175679081909003,3053.9688020000003,0.5701367542794101,899.4714470000001,0.16791976755746324
13,Croix d'Argent,sous-quartier,,3.69,2495.121951219512,3863.458075,53.30163,0.014031556630252528,185.71232700000002,0.048888430489583065,292.082397,0.07689015690899886,2564.141486,0.6750055574058217,703.459012,0.1851842985653439,656.6942089999998,0.16997575649892352,2218.988678,0.5743529850521285,988.7751899999998,0.2559300944400697
14,Pas du Loup,sous-quartier,6473.47468,1.57,4123.232280254777,2570.794307,67.869926,0.02802404000319426,84.696161,0.03497172818460096,203.86965700000002,0.08417942614532235,1710.89966,0.7064442727297428,354.51119600000004,0.14638053293713982,446.17722200000026,0.17355617319717373,1471.1629819999998,0.5722600901963176,653.454103,0.25418373660650867
15,Saint Martin,sous-quartier,,0.86,7384.883720930233,3132.5286459999998,33.688791,0.015395896249465663,147.309472,0.06732094801133015,177.009566,0.08089399567051678,1484.747368,0.6785347813281638,345.41173100000003,0.1578543787405236,814.4846729999999,0.26000869107455243,1696.565567,0.5415961859331709,621.478405,0.1983951226730458
16,Aiguerelles,sous-quartier,,1.6,4728.75,3617.165067,63.079031,0.02116705743842824,279.37617,0.09374860938047848,268.757519,0.09018537145382702,1847.799577,0.6200551777826518,521.044387,0.1748437839446144,626.4468240000001,0.1731872370755703,2153.99313,0.5954920746225375,836.725113,0.2313206883018922
17,Près d'Arènes,sous-quartier,,1.56,1835.8974358974358,1306.660011,25.933654,0.021526475117030007,67.15652,0.055743905456837196,112.131616,0.09307590984503623,790.98366,0.6565634782883786,208.527506,0.17309023129271814,274.12888899999984,0.20979358570115442,809.672228,0.6196502695298296,222.858894,0.17055614476901598
18,Port Marianne,sous-quartier,,57.26,173.7862382116661,5932.793887,137.5769,0.029779206531076678,565.2005469999999,0.12234047882013993,281.945847,0.06102858552847423,2585.3340749999998,0.5596084616767428,1049.8407419999999,0.22724326744356635,1583.7574359999999,0.2669496810719054,3561.15002,0.6002483969320473,787.8864309999999,0.13280192199604723
