system_id,city,has_status_feed,has_info_feed,n_stations_live,status_url
velo-tbm-bordeaux,Bordeaux,True,True,225,https://bdx.mecatran.com/utw/ws/gbfs/bordeaux/v3/station_status.json?apiKey=opendata-bordeaux-metropole-flux-gtfs-rt
le_velo_star,Rennes,True,True,57,https://eu.ftp.opendatasoft.com/star/gbfs/station_status.json
levelo_inurba_marseille,Marseille,True,True,223,https://gbfs.omega.fifteen.eu/gbfs/2.2/marseille/en/station_status.json
inurba-rouen,Rouen,True,True,131,https://gbfs.urbansharing.com/lovelolibreservice.fr/station_status.json
nantes,Nantes,True,True,123,https://api.cyclocity.fr/contracts/nantes/gbfs/v2/station_status.json
v_lille,Lille,True,True,267,https://media.ilevia.fr/opendata/station_status.json
amiens,Amiens,True,True,45,https://api.cyclocity.fr/contracts/amiens/gbfs/v2/station_status.json
Paris,Paris,True,True,1511,https://velib-metropole-opendata.smovengo.cloud/opendata/Velib_Metropole/station_status.json
velivert_saint_etienne,Saint-Étienne,True,True,97,https://api.saint-etienne-metropole.fr/velivert/api/station_status.json
lyon,Lyon,True,True,453,https://api.cyclocity.fr/contracts/lyon/gbfs/v2/station_status.json
cergy,Cergy-Pontoise,True,True,45,https://api.cyclocity.fr/contracts/cergy/gbfs/v2/station_status.json
besancon,Besançon,True,True,33,https://api.cyclocity.fr/contracts/besancon/gbfs/v2/station_status.json
nextbike_af,Mulhouse,True,True,61,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_af/fr/station_status.json
velonecy60minutes_annecy,Annecy,True,True,80,https://gbfs.partners.fifteen.eu/gbfs/2.2/annecy/en/station_status.json
nancy,Nancy,True,True,37,https://api.cyclocity.fr/contracts/nancy/gbfs/v2/station_status.json
velozef,Brest,True,True,41,https://gbfs.partners.fifteen.eu/gbfs/2.2/brest/en/station_status.json
toulouse,Toulouse,True,True,434,https://api.cyclocity.fr/contracts/toulouse/gbfs/v2/station_status.json
zebullo,Reims,True,True,63,https://api.gbfs.v3.0.ecovelo.mobi/zebullo/station_status.json
montpellier,Montpellier,True,True,53,https://gbfs.theta.fifteen.eu/gbfs/2.2/montpellier/en/station_status.json
dijon,Dijon,False,False,0,
