Station_Name,PageRank,Betweenness,Degree_Cent,Hub_Score,Auth_Score,S_Core,Clustering,Closeness_Out,Closeness_In,Closeness_Mean,Harmonic,Load_Centrality,Eigenvector,Katz,VoteRank,Avg_Neighbor_Degree,Weighted_In,Weighted_Out,Flow_Balance
Comédie,0.0419363725921329,0.0,1.9642857142857144,0.0431391729368972,0.0415853851743488,52.0,0.1040157360576911,0.9692307692307692,0.9387057387057387,0.9539682539682539,62.0,0.028417818740399385,0.04080660284328488,0.05965841167040777,53.0,59.87097082126834,31433,31427,-6
Boutonnet,0.0382670420254667,0.0044441574839302,1.9285714285714284,0.0507596438353932,0.0512079658009081,52.0,0.1000839023900285,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.018903527138507684,0.04260180756414015,57.0,59.907233394806944,34166,34161,-5
Place Albert 1er - St Charles,0.0358063788136504,0.0004870129870129,1.9107142857142856,0.0473637773395141,0.0500507469631535,52.0,0.096861242922594,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.01818316608952156,0.04043180519646893,29.0,59.88849354908573,32404,32321,-83
FacdesSciences,0.0319211966660558,0.0,1.9107142857142856,0.0413984002258964,0.041127242323285,52.0,0.09088635906927,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.012062747319571692,0.030714701457787062,49.0,59.8723887019795,25574,25562,-12
Médiathèque Emile Zola,0.030679878983782,0.0,1.9107142857142856,0.0314783547372654,0.0317242239307195,52.0,0.0934244524820859,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.021509989396054707,0.03888002663166758,35.0,59.86096762745949,25411,25361,-50
Fac de Lettres,0.0306454246440604,0.0,1.9285714285714284,0.0431669436399362,0.0380135413870389,52.0,0.0823737622651566,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.01163519699011179,0.026089938272549566,50.0,59.92189487070793,18871,18872,1
Corum,0.0302370525897242,0.0,1.9285714285714284,0.0338665722726412,0.0382059447608859,52.0,0.0805294452114974,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.012820015504116624,0.029108381330364405,52.0,59.9189785476224,21313,21303,-10
Port Marianne,0.0301387184816714,0.0027966000449766,1.9107142857142856,0.0276889897160776,0.0280502058526662,52.0,0.0826486415575689,0.9264705882352942,0.9387057387057387,0.9325881634705164,60.833333333333336,0.0,0.04890019486693284,0.0630397266355383,25.0,59.90897820435913,24995,25005,10
Louis Blanc,0.0298101534271612,0.0,1.9107142857142856,0.0393096021865821,0.0399905188498093,52.0,0.0804284744644975,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.012535674401282419,0.03002425655757542,38.0,59.928312785584964,23203,23198,-5
Rue Jules Ferry - Gare Saint-Roch,0.0277319755818361,0.001734693877551,1.9464285714285716,0.0255314122773516,0.0274115438443699,52.0,0.0804871794450065,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.025015892708688214,0.037879770662362075,19.0,59.9663039478526,19043,19023,-20
Occitanie,0.0276856548112712,0.0011183261183261,1.8928571428571428,0.0338016308991268,0.0353871087336553,52.0,0.0753947509696743,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.014414198205920636,0.03562800413005245,32.0,59.86851833011158,29444,29487,43
Plan Cabanes,0.0268238105335018,0.0,1.9285714285714284,0.0272984377459488,0.0269520220996518,52.0,0.0820409030938495,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.011727948237195564,0.024963273616260124,27.0,59.88488266119845,17578,17556,-22
Observatoire,0.0252348603431521,0.0,1.9285714285714284,0.0244229815975839,0.0230937472865408,52.0,0.0823413961518203,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.011333500567276725,0.022752471982339224,33.0,59.94121691302853,14547,14545,-2
Pérols Etang de l'Or,0.0246553041260232,0.0,1.9285714285714284,0.0213484965533707,0.0220787090513937,52.0,0.0612765757058392,0.9545454545454546,0.9685059208868732,0.9615256877161639,61.5,0.0035842293906810036,0.9944096518697564,0.9824470328039906,62.0,61.50331272628753,40701,40601,-100
Hôtel de Ville,0.0223618765905727,0.0,1.9107142857142856,0.0180192332753269,0.0195387699790421,52.0,0.0674873334109257,0.9130434782608695,0.9387057387057387,0.925874608483304,60.333333333333336,0.0,0.02161267421427379,0.03279129848813523,44.0,59.92670219064535,16903,16890,-13
Halles Castellane,0.0222140192279347,4.6382189239332094e-05,1.9464285714285716,0.0217555446134521,0.020520627340906,52.0,0.0675013246939777,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.02202007367181519,0.03314152540544,45.0,59.86629562516179,15466,15452,-14
Vert Bois,0.0219289500714385,0.0090334034652216,1.9107142857142856,0.0291009937692986,0.0249542514551248,52.0,0.0616037172552491,0.9264705882352942,0.9244829244829245,0.9254767563591093,60.5,0.0,0.004052103815831477,0.01844539654778791,6.0,59.70671103716029,9055,9015,-40
Nombre d'Or,0.0218855970191643,0.0076959647495361,1.9285714285714284,0.0208570728528011,0.0213875711812641,52.0,0.0638192507028425,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.021655130035153063,0.03512882260086161,34.0,59.918865132418226,19632,19597,-35
Antigone centre,0.0217683213636507,0.0079046846011131,1.9107142857142856,0.0230761886618285,0.0227376092982625,52.0,0.067842412974449,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.014772166164733713,0.02800698241821294,59.0,59.86508829153076,17797,17782,-15
Père Soulas,0.0206657746860568,0.0308489604254501,1.9285714285714284,0.0224201347402898,0.0230855832155925,52.0,0.0635008611529679,0.9130434782608695,0.9387057387057387,0.925874608483304,60.333333333333336,0.0,0.00528570272433875,0.01702749943453799,23.0,59.913198392843604,13169,13191,22
Richter,0.0203428642363054,0.0259852494186909,1.9464285714285716,0.0178597560998466,0.0191184423634422,52.0,0.0612946133233767,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.02278157689072313,0.025431004383812728,21.0,59.809816771432395,14963,14954,-9
Place Viala,0.0196834601916985,0.0012314471243042,1.9107142857142856,0.0188223222219093,0.0190282100438677,52.0,0.0585275364775734,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.0071767252383697884,0.019137857142138847,28.0,59.906309491433234,14714,14708,-6
Parvis Jules Ferry - Gare Saint-Roch,0.0194500415998544,0.0152427334570191,1.9464285714285716,0.0157177439721054,0.0162992249975401,52.0,0.0604478749193534,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.00671211382530023,0.017195128566165778,30.0,59.88533803053179,11929,11922,-7
Saint-Guilhem - Courreau,0.019334730064964,0.0,1.9107142857142856,0.0199069106470902,0.0179479240423245,52.0,0.064125774508764,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.007151804752234471,0.021252316162595482,16.0,59.896038840937116,12978,12976,-2
Renouvier,0.0192463082664609,0.0001082251082251,1.9107142857142856,0.0186751897312873,0.0186152364998744,52.0,0.064102656231981,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.005306549791603597,0.01580253930943999,22.0,59.89693346617956,9054,9033,-21
Foch,0.0178386010552725,5.156608097784568e-05,1.9285714285714284,0.0170725671064502,0.0167285209798002,52.0,0.0586526326834363,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.01642780931021625,0.026325924352375955,48.0,59.87184039225632,11825,11829,4
Albert 1er - Cathédrale,0.0155254029401721,0.0024675676055546,1.9107142857142856,0.0177828844382469,0.0162202089681594,52.0,0.0507294177907447,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.008191240036066494,0.018221191946636066,60.0,59.92860129625758,9563,9566,3
Voltaire,0.0149806849586974,0.0020238577259681,1.875,0.0122069603333085,0.0124269072322955,52.0,0.0506378728277194,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.01593186943117638,0.023983118413427422,14.0,59.91674055683632,11279,11278,-1
Nouveau Saint-Roch,0.0146963158085309,0.0092350121866928,1.9107142857142856,0.010710544071193,0.0109611179777848,52.0,0.0485492324396351,0.9545454545454546,0.9244829244829245,0.9395141895141895,61.5,0.0,0.007108959642873809,0.01758842368598424,4.0,59.65186147186147,11544,11550,6
