adjacency_eigenvalue,laplacian_eigenvalue
32100.07189277018,2.00102903212369e-11
19491.66026464968,1.0153090924136003
11056.284555512322,2.032275147651892
6972.899290131304,9.140534219046613
6646.535649120748,134.95646734939774
6161.79892683669,1057.0163390950238
5433.278335667851,1763.7797763685992
5343.61505892083,2047.6344029176967
5232.928171944706,2123.870129021179
4826.849248155646,2425.7277093911407
4659.948960759618,2525.6672398816013
4630.619905740148,2617.7194973293335
4247.497405348332,2718.2362691046555
3956.995493598433,3091.3404822090283
3726.425246821951,3131.619643220918
3618.863552165407,3230.5724702513644
3515.0360777320693,3468.0500056492706
3466.5994336596295,4050.7598489124794
3273.847159706258,4109.426469512289
3023.678912260224,4263.14884678132
2979.9183223713953,4425.101465648451
2848.949791642028,4526.4523110024165
2654.473150065962,4595.640351766298
2617.5875844018765,4781.021217647398
2513.4642505408624,4914.925049049543
2363.3878706942346,5056.57508285625
2345.1104398812413,5298.402447169317
2157.4618438712637,5514.601932201215
2010.0260566177885,6204.973701727713
1922.6321817689454,6260.9665342668695
1869.9630806696484,6528.536763073398
1812.4541457694347,6569.4788096725815
1741.5467750176201,6798.440264082958
1613.600693804313,7278.85552579227
1603.3776787952684,7354.973591742878
1590.6511266488199,7581.8459216456895
1547.142656231259,8046.679633087635
1505.7716211243617,8275.030166413308
1447.494197203647,8531.428822936872
1365.531064861133,8726.363948310085
1348.2760198492529,9323.22159140309
1266.4622196450623,9670.228105033339
1260.585865118307,10128.588771887886
1205.2308762598534,10604.42422276333
1191.3589230519833,10653.220960301356
1111.5499398532143,11174.122849111292
1081.6486333541236,12151.748076715812
1013.7915794543983,12340.42260725686
979.676090963837,12761.251743629522
928.933948651026,13429.03645503683
907.6580859483353,13507.604805295183
875.0969828100059,13799.72485103726
768.7288543150403,15005.050376959787
704.2098144131079,15895.033219565234
682.5976179477561,16024.635779363907
585.5395811437083,16933.295537045127
563.376531084949,17583.082591845287
498.32567865486607,18378.18090571515
318.1623956050512,20313.05729336729
252.9992002439789,20796.855788774254
202.98252063587327,22106.95329842047
51.21563641672142,24927.160417130064
7.9993236098881635,25970.047734149033
-0.38439251342740544,29339.044762645026
