Station_Name,effective_size,constraint,betweenness,Quartier
Aiguelongue,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
Albert 1er - Cathédrale,0.23333333333325335,0.06625505495930177,0.0,Centre
Antigone centre,1.6885245901638906,0.06561770716205831,0.0,Centre
AtelierTAM,7.203125,0.06329980207274202,0.0706605222734255,Croix d'Argent
Beaux-Arts,0.23333333333325335,0.06625505495930177,0.003131933777095068,Centre
Boutonnet,0.23333333333325335,0.06625505495930177,0.0,Centre
Celleneuve,1.6885245901638906,0.06561770716205831,0.1575354155999317,Mosson
Charles Flahault,0.23333333333325335,0.06625505495930177,0.0,Centre
Cité Mion,0.23333333333325335,0.06625505495930177,0.07013995562382656,Prés d'Arènes
Clemenceau,-8.859579736508749e-14,0.06642227794469042,0.08070489844683391,
Comedie Baudin,0.06896551724134048,0.0663795011723014,0.0,Centre
Comédie,3.5645161290323064,0.06477530725604483,0.028417818740399385,Centre
Corum,1.6885245901638906,0.06561770716205831,0.0,Centre
Deux Ponts - Gare Saint-Roch,0.10169491525430252,0.06632879935219096,0.044888206178528754,
Emile Combes,0.23333333333325335,0.06625505495930177,0.0039255845707458605,Centre
Esplanade,1.474576271186503,0.06575093190424164,0.0,
Euromédecine,1.6885245901638906,0.06561770716205831,0.2856886840757808,Hôpitaux-Facultés
Fac de Lettres,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
FacdesSciences,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
Foch,1.6885245901638906,0.06561770716205831,0.0,Centre
Gambetta,0.23333333333325335,0.06625505495930177,0.0,Centre
Garcia Lorca,0.23333333333325335,0.06625505495930177,0.0,Prés d'Arènes
Halles Castellane,2.065573770491759,0.06543235420335552,0.0,Centre
Hôtel de Ville,0.23333333333325335,0.06625505495930177,0.0,Prés d'Arènes
Hôtel du Département,0.10169491525430252,0.06632879935219096,0.053464755077658306,Les Cévennes
Jardin de la Lironde,0.23333333333325335,0.06625505495930177,0.06648745519713262,Port Marianne
Jean de Beins,-6.217248937900877e-14,0.06647740370624028,0.49395801331285205,Centre
Jeu de Mail des Abbés,0.23333333333325335,0.06625505495930177,0.014336917562724014,Centre
Les Arceaux,2.065573770491759,0.06543235420335552,0.046765659668885476,Centre
Les Aubes,0.23333333333325335,0.06625505495930177,0.0031575354155999324,Centre
Louis Blanc,0.23333333333325335,0.06625505495930177,0.0,Centre
Malbosc,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
Marie Caizergues,0.23333333333325335,0.06625505495930177,0.0,Centre
Médiathèque Emile Zola,0.23333333333325335,0.06625505495930177,0.0,Centre
Nombre d'Or,1.6885245901638906,0.06561770716205831,0.0,Centre
Nouveau Saint-Roch,1.6885245901638906,0.06561770716205831,0.0,Croix d'Argent
Observatoire,1.6885245901638906,0.06561770716205831,0.0,Centre
Occitanie,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
Odysseum,0.23333333333325335,0.06625505495930177,0.0,
Parvis Jules Ferry - Gare Saint-Roch,0.23333333333325335,0.06625505495930177,0.0,Centre
Place Albert 1er - St Charles,0.23333333333325335,0.06625505495930177,0.0,Centre
Place Viala,0.23333333333325335,0.06625505495930177,0.0,Les Cévennes
Plan Cabanes,0.23333333333325335,0.06625505495930177,0.0,Centre
Pont de Lattes - Gare Saint-Roch,0.23333333333325335,0.06625505495930177,0.0,Centre
Port Marianne,1.6885245901638906,0.06561770716205831,0.0,Port Marianne
Providence - Ovalie,0.23333333333325335,0.06625505495930177,0.1946236559139785,Croix d'Argent
Prés d'Arènes,0.23333333333325335,0.06625505495930177,0.0,Prés d'Arènes
Père Soulas,0.23333333333325335,0.06625505495930177,0.0,Hôpitaux-Facultés
Pérols Etang de l'Or,3.5000000000000484,0.06482026027242929,0.0035842293906810036,
Renouvier,1.6885245901638906,0.06561770716205831,0.0,Centre
Richter,0.23333333333325335,0.06625505495930177,0.0,Port Marianne
Rondelet,1.6885245901638906,0.06561770716205831,0.0,Centre
Rue Jules Ferry - Gare Saint-Roch,1.6885245901638906,0.06561770716205831,0.0,Centre
Sabines,0.23333333333325335,0.06625505495930177,0.0,Croix d'Argent
Saint-Denis,0.23333333333325335,0.06625505495930177,0.0,
Saint-Guilhem - Courreau,0.23333333333325335,0.06625505495930177,0.0,Centre
Sud De France,0.23333333333325335,0.06625505495930177,0.13346987540535932,Centre
Tonnelles,0.23333333333325335,0.06625505495930177,0.0,Les Cévennes
Vert Bois,0.1355932203390482,0.06631033827747371,0.0,Hôpitaux-Facultés
Voltaire,0.23333333333325335,0.06625505495930177,0.0,Centre
Station SAV,0.0,0.6211545052324209,0.0030721966205837174,
Station SAV Smoove,0.0,0.31981274640835455,0.06391875746714458,
Perols etang or,0.0,0.09946983158477268,0.4155999317289639,
Smoove,0.0,1.1485595703125,0.0,
