departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Boutonnet,Place Albert 1er - St Charles,Centre,Centre,3139,625.2890714636054,1298.2932552265904,2.076308885724955,0.0,5.731315575197784,43.6199984,3.8678033,43.6166028,3.8739949
Place Albert 1er - St Charles,Boutonnet,Centre,Centre,3056,625.2890714636054,698.4717870668139,1.117038213113034,7.071865081787109,9.32715338471629,43.6166028,3.8739949,43.6199984,3.8678033
Place Albert 1er - St Charles,Occitanie,Centre,Hôpitaux-Facultés,2594,2837.2789236300478,2931.7659431620946,1.0333019847802485,18.571277618408203,29.33886176538167,43.6166028,3.8739949,43.6343515,3.8486697
Boutonnet,Louis Blanc,Centre,Centre,2456,989.972959545518,1963.079736777611,1.9829629868666636,0.0,8.666015498004764,43.6199984,3.8678033,43.614645,3.8776294
Occitanie,Place Albert 1er - St Charles,Hôpitaux-Facultés,Centre,2239,2837.2789236300478,3057.7896271128657,1.0777190785320092,0.0,13.498612308889744,43.6343515,3.8486697,43.6166028,3.8739949
Place Albert 1er - St Charles,FacdesSciences,Centre,Hôpitaux-Facultés,2167,2061.3891680380766,2569.246787323199,1.2463666866788066,23.0557861328125,31.69789351929842,43.6166028,3.8739949,43.633469,3.863365
Louis Blanc,Boutonnet,Centre,Centre,2157,989.972959545518,1130.965873676511,1.1424209750089749,6.471504211425781,10.70633991761278,43.614645,3.8776294,43.6199984,3.8678033
Boutonnet,Corum,Centre,Centre,1936,1304.595719121592,2076.5775679317844,1.5917402897274429,0.0,9.167051673634864,43.6199984,3.8678033,43.6141888,3.8818829
FacdesSciences,Place Albert 1er - St Charles,Hôpitaux-Facultés,Centre,1922,2061.3891680380766,2286.0140887936386,1.10896774089938,0.0,10.09160919497952,43.633469,3.863365,43.6166028,3.8739949
Fac de Lettres,Place Albert 1er - St Charles,Hôpitaux-Facultés,Centre,1872,2124.7352570804346,2345.25229172962,1.1037856523133118,0.0,10.353116241840407,43.6353331,3.8687709,43.6166028,3.8739949
Médiathèque Emile Zola,Nombre d'Or,Centre,Centre,1785,516.9420104794855,925.8494840381692,1.7910122707562592,4.335712432861328,7.915163054259765,43.6082468,3.8930561,43.6079002,3.8866534
Comédie,Médiathèque Emile Zola,Centre,Centre,1756,935.931015856014,1136.2609722593943,1.214043506422486,0.0,5.016024062039098,43.6091864,3.8815041,43.6082468,3.8930561
Louis Blanc,Occitanie,Centre,Hôpitaux-Facultés,1744,3199.2547398264087,3364.260029771792,1.0515761648771789,17.970916748046875,30.718048298278163,43.614645,3.8776294,43.6343515,3.8486697
FacdesSciences,Louis Blanc,Hôpitaux-Facultés,Centre,1691,2387.363103367047,3144.3866141944004,1.317096092236525,0.0,13.880894708361184,43.633469,3.863365,43.614645,3.8776294
Boutonnet,Occitanie,Centre,Hôpitaux-Facultés,1634,2217.85016223363,2233.294156095281,1.006963497410527,11.499412536621094,20.011708380665382,43.6199984,3.8678033,43.6343515,3.8486697
Boutonnet,FacdesSciences,Centre,Hôpitaux-Facultés,1615,1539.872177230052,2024.846937462663,1.3149448164619686,15.98392105102539,23.050890701379245,43.6199984,3.8678033,43.633469,3.863365
FacdesSciences,Boutonnet,Hôpitaux-Facultés,Centre,1607,1539.872177230052,1983.0138196159312,1.2877781993457469,0.0,8.75401450669453,43.633469,3.863365,43.6199984,3.8678033
Corum,Occitanie,Centre,Hôpitaux-Facultés,1591,3489.057852674705,4009.799099006613,1.1492498170910834,21.58238983154297,36.756350104833984,43.6141888,3.8818829,43.6343515,3.8486697
Nombre d'Or,Médiathèque Emile Zola,Centre,Centre,1538,516.9420104794855,552.4262876959001,1.068642664935476,0.0,2.438685847033551,43.6079002,3.8866534,43.6082468,3.8930561
Louis Blanc,FacdesSciences,Centre,Hôpitaux-Facultés,1528,2387.363103367047,2754.8101427537454,1.1539133443373002,22.45542526245117,31.987004339404557,43.614645,3.8776294,43.633469,3.863365
Occitanie,Louis Blanc,Hôpitaux-Facultés,Centre,1518,3199.2547398264087,3645.06698820174,1.1393487810850351,0.0,16.09114821941658,43.6343515,3.8486697,43.614645,3.8776294
Fac de Lettres,Boutonnet,Hôpitaux-Facultés,Centre,1515,1706.9184201351848,2042.252022551912,1.196455553154186,0.0,9.015521553555416,43.6353331,3.8687709,43.6199984,3.8678033
Fac de Lettres,Louis Blanc,Hôpitaux-Facultés,Centre,1490,2408.3817470996128,3203.6248171303814,1.3301980971199732,0.0,14.142401755222073,43.6353331,3.8687709,43.614645,3.8776294
Occitanie,FacdesSciences,Hôpitaux-Facultés,Hôpitaux-Facultés,1477,1186.7247728335533,1625.7379010059612,1.3699367690152555,4.484508514404297,11.13619253135837,43.6343515,3.8486697,43.633469,3.863365
