station,trips_dep,lat,lon,quartier,rugosite_dep,energie_dep,trips_ret,rugosite_ret,energie_ret,rugosite_mean,energie_mean
Comedie Baudin,1865.0,43.6085548,3.8811936,Centre,1.8866941965967265,23.09725978461815,1948.0,2.08044548621409,21.348375810265853,1.9835698414054082,22.222817797442
Perols etang or,130.0,43.5584733,3.9633257,,1.9654637929299896,16.09657752959179,,,,1.9654637929299896,16.09657752959179
Jean de Beins,,,,,,,961.0,1.7808201621131248,20.22247862377685,1.7808201621131248,20.22247862377685
Sud De France,2211.0,43.6092765,3.8895111,Centre,1.7246241372094275,19.97355212771847,2344.0,1.8296297262858612,17.01938134952081,1.7771269317476444,18.496466738619638
Comédie,22046.0,43.6091864,3.8815041,Centre,1.6981607803898298,19.286885549557088,,,,1.6981607803898298,19.286885549557088
Nombre d'Or,12389.0,43.6079002,3.8866534,Centre,1.592051019573894,19.924839411510476,13059.0,1.7902881365408092,14.490782039465794,1.6911695780573517,17.207810725488134
Pont de Lattes - Gare Saint-Roch,4371.0,43.60438,3.88216,Centre,1.6931678654120825,17.2066680258078,4454.0,1.5623151424021577,18.471325925518382,1.6277415039071201,17.838996975663093
Parvis Jules Ferry - Gare Saint-Roch,8287.0,43.605325,3.881229,Centre,1.6212956806741319,19.458994990018972,6111.0,1.6325233065156133,17.750143284750024,1.6269094935948725,18.604569137384498
Albert 1er - Cathédrale,7626.0,43.6148176,3.8737832,Centre,1.48884784779431,18.968879436001266,7795.0,1.7037980956106338,16.885824408406105,1.5963229717024718,17.927351922203684
Deux Ponts - Gare Saint-Roch,2240.0,43.60424,3.88339,Centre,1.550107548988959,16.202222446069605,2345.0,1.6134512670636805,20.645010144949126,1.5817794080263199,18.423616295509365
Hôtel de Ville,9501.0,43.5985194,3.8966319,Prés d'Arènes,1.6291248353463792,31.002059352587953,10829.0,1.532258233616608,14.242876250720053,1.5806915344814936,22.622467801654004
Rondelet,5621.0,43.6041463,3.8748308,Centre,1.5061004944015952,16.086798728372283,5974.0,1.5258644489426019,17.780837644821126,1.5159824716720984,16.933818186596703
Rue Jules Ferry - Gare Saint-Roch,14594.0,43.6053253,3.8812294,Centre,1.5852930644901118,17.053453526163718,2322.0,1.444146584578072,11.815409031318717,1.514719824534092,14.434431278741219
Emile Combes,3565.0,43.6167422,3.8799722,Centre,1.506953812976789,23.139191874404506,3663.0,1.4847751086394694,13.71785705074877,1.495864460808129,18.42852446257664
Jeu de Mail des Abbés,,,,,,,4233.0,1.482015007156138,13.613643982243874,1.482015007156138,13.613643982243874
Nouveau Saint-Roch,6788.0,43.5992903,3.8756446,Croix d'Argent,1.253364026170332,15.401359921800706,7428.0,1.6887259139447115,19.13742563968444,1.4710449700575219,17.269392780742574
Voltaire,6605.0,43.6037185,3.8889694,Centre,1.4612621044893506,23.674307718014532,7470.0,1.4662835507653438,13.103230807234583,1.4637728276273472,18.388769262624557
Boutonnet,23675.0,43.6199984,3.8678033,Centre,1.6036539841342512,16.37423589174282,24755.0,1.3149990025108391,13.797155684118865,1.4593264933225452,15.085695787930842
Halles Castellane,11286.0,43.6101245,3.8768434,Centre,1.3917197852567893,14.224544098013112,12103.0,1.5173962058585238,33.83888561670525,1.4545579955576566,24.03171485735918
Beaux-Arts,3988.0,43.6169338,3.8834353,Centre,1.4142074804874774,22.2015702108973,4092.0,1.4777923407982916,11.768347816565699,1.4459999106428845,16.9849590137315
Observatoire,9729.0,43.6145267,3.8710807,Centre,1.3923973852177565,18.926091488890517,10247.0,1.497819099992054,17.161351765554116,1.4451082426049053,18.043721627222318
Place Albert 1er - St Charles,22477.0,43.6166028,3.8739949,Centre,1.414081278543889,22.32563397249893,23545.0,1.4575779018933028,11.49551512588101,1.4358295902185958,16.91057454918997
Marie Caizergues,5392.0,43.619655,3.8733067,Centre,1.4558663403097858,18.154479686374046,5705.0,1.410781247221771,13.094881154408597,1.4333237937657783,15.624680420391321
Corum,15760.0,43.6141888,3.8818829,Centre,1.4194142738636002,25.7320482405561,15830.0,1.4316887323398986,13.105348234424241,1.4255515031017494,19.41869823749017
Louis Blanc,17460.0,43.614645,3.8776294,Centre,1.254958967030189,22.345871714846815,17404.0,1.5872096083323177,13.927606402223873,1.4210842876812535,18.136739058535344
Gambetta,4139.0,43.6041258,3.8730462,Centre,1.3537987566094691,18.289757812524027,4494.0,1.4868702408660133,16.734402447818763,1.4203344987377413,17.512080130171395
Médiathèque Emile Zola,16882.0,43.6082468,3.8930561,Centre,1.5236582045013236,25.2913819415821,18515.0,1.308745221555946,11.860507993398631,1.4162017130286348,18.575944967490365
Garcia Lorca,5587.0,43.5877543,3.8871086,Prés d'Arènes,1.394701914729873,31.173207171220938,6072.0,1.4294033586936261,16.399290212816986,1.4120526367117496,23.78624869201896
Antigone centre,10660.0,43.6079062,3.8904657,Centre,1.351806651624489,23.36036605114078,11457.0,1.4579800255799704,11.464031667520965,1.4048933386022298,17.41219885933087
Cité Mion,2323.0,43.6011431,3.8844511,Prés d'Arènes,1.4219691376810988,16.51917621657716,2540.0,1.3824700559097611,18.386387288585944,1.40221959679543,17.45278175258155
Les Arceaux,7871.0,43.6126513,3.8632773,Centre,1.3797037484617103,17.04717056353073,8559.0,1.4155376678856353,15.224481005754983,1.397620708173673,16.135825784642858
Foch,8776.0,43.6109947,3.8733344,Centre,1.385917977456591,13.515383997671982,9446.0,1.4035489953707325,35.41734693365679,1.3947334864136618,24.466365465664385
Prés d'Arènes,4786.0,43.5936317,3.8877518,Prés d'Arènes,1.414466643522012,28.067275566598056,5484.0,1.351880992341671,13.691426677648149,1.3831738179318416,20.879351122123104
Aiguelongue,6042.0,43.636472,3.8823753,Hôpitaux-Facultés,1.3809928564302407,17.014756986636076,6215.0,1.368167148613652,48.372762055484216,1.3745800025219463,32.693759521060144
Plan Cabanes,11131.0,43.6084996,3.868611,Centre,1.3218388297751202,17.512278079606034,12606.0,1.4044145371021237,17.860494960498837,1.363126683438622,17.686386520052437
Vert Bois,6221.0,43.6354897,3.8717793,Hôpitaux-Facultés,1.385874831754636,14.022069272480183,6452.0,1.3292904642175194,50.586529035451335,1.3575826479860778,32.30429915396576
Renouvier,6121.0,43.6031881,3.8678316,Centre,1.3560594568430344,15.010975210102762,6635.0,1.3478603492480312,18.885273217512974,1.351959903045533,16.94812421380787
Charles Flahault,6167.0,43.6187686,3.8659891,Centre,1.2812520962622778,15.875617743620772,6675.0,1.4199395995097162,14.799191629676521,1.350595847885997,15.337404686648647
Saint-Guilhem - Courreau,8932.0,43.6089424,3.8727765,Centre,1.2826478467539864,14.941388119078425,9597.0,1.405750557121362,22.51639572215291,1.3441992019376743,18.728891920615666
Les Aubes,4576.0,43.6192157,3.8913335,Centre,1.2931436201822406,20.185621930688907,4945.0,1.3773202134738343,11.866064535616287,1.3352319168280373,16.025843233152596
Jardin de la Lironde,2576.0,43.6058517,3.9115715,Port Marianne,1.3535231892059667,28.201878077914646,2832.0,1.3069173393886264,20.492304309852234,1.3302202642972967,24.34709119388344
Hôtel du Département,2402.0,43.6218482,3.8350214,Les Cévennes,1.33217243658628,17.67071617510646,2602.0,1.2862219776379984,52.203656016498954,1.3091972071121392,34.93718609580271
FacdesSciences,17623.0,43.633469,3.863365,Hôpitaux-Facultés,1.3314231341985672,16.540736894542366,18820.0,1.283636507575074,28.761149320186853,1.3075298208868205,22.65094310736461
Port Marianne,13019.0,43.6059165,3.9168169,Port Marianne,1.307800885731609,30.818717821280444,15613.0,1.3022865968838322,23.958803528884008,1.3050437413077205,27.388760675082224
Sabines,3721.0,43.583879,3.8601051,Croix d'Argent,1.2830942569804347,31.560472840806167,4270.0,1.2822619007790381,26.216992290468276,1.2826780788797363,28.88873256563722
Providence - Ovalie,1680.0,43.5882994,3.8534561,Croix d'Argent,1.2756420021193338,23.345398380757697,1966.0,1.2881950801242759,29.42610600817886,1.2819185411218048,26.385752194468278
Place Viala,9937.0,43.6168167,3.8550842,Les Cévennes,1.2861025512777478,15.963576778832884,11153.0,1.2733687010074357,23.623695815777143,1.2797356261425916,19.793636297305014
Fac de Lettres,13086.0,43.6353331,3.8687709,Hôpitaux-Facultés,1.2458725314475656,14.515063607603903,13634.0,1.3022957041874155,39.805705231279596,1.2740841178174906,27.160384419441748
Malbosc,2875.0,43.6333264,3.8310425,Hôpitaux-Facultés,1.2641913013684252,21.7879452310589,3023.0,1.2794690315007455,54.00991479744388,1.2718301664345852,37.89893001425139
Richter,8849.0,43.6056173,3.8995795,Port Marianne,1.2622631882384325,29.61018151212492,10502.0,1.276725062608867,11.68568300953798,1.2694941254236498,20.64793226083145
Père Soulas,9298.0,43.6219699,3.855618,Hôpitaux-Facultés,1.2381833313883046,18.390906309350143,10091.0,1.2815798197763733,15.344432090534049,1.259881575582339,16.867669199942096
AtelierTAM,2709.0,43.5934,3.8585,Croix d'Argent,1.22932888514886,30.242671650470523,3244.0,1.2583010170820481,40.25338832190521,1.243814951115454,35.248029986187866
Euromédecine,1682.0,43.6419736,3.8375497,Hôpitaux-Facultés,1.2751671067629673,21.5345569875365,1740.0,1.2018874002175168,44.53295726547248,1.238527253490242,33.03375712650449
Tonnelles,3589.0,43.6151527,3.8394759,Les Cévennes,1.229809306686617,16.397876815152753,3969.0,1.2326160375193624,47.5984332377963,1.2312126721029897,31.998155026474528
Celleneuve,2547.0,43.6137045,3.8245262,Mosson,1.1877340566799874,30.04751778994682,2883.0,1.1770548294606533,44.0368443843428,1.1823944430703204,37.04218108714481
Occitanie,19121.0,43.6343515,3.8486697,Hôpitaux-Facultés,1.1698687389598437,20.603202177476277,20546.0,1.1628772535998988,27.505608703593623,1.1663729962798712,24.05440544053495
Pérols Etang de l'Or,6921.0,43.5579564,3.9636474,,1.1370787041148753,73.51431172436196,8258.0,1.1490235487000682,41.61560160595509,1.1430511264074719,57.564956665158526
