departure_station,return_station,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_quartier,ret_quartier
Pérols Etang de l'Or,Malbosc,31,13574.657529973603,15031.147630965725,1.1072947953033887,72.25313663482666,130.14729555178667,,Hôpitaux-Facultés
Pérols Etang de l'Or,Hôtel du Département,109,12561.333305348202,13987.560589292118,1.1135410747628738,72.448899269104,125.713219386122,,Les Cévennes
Perols etang or,Euromédecine,1,13739.85296962942,15197.639336477716,1.1060991242097415,62.55156946182251,122.31675952872398,,Hôpitaux-Facultés
Pérols Etang de l'Or,Euromédecine,40,13797.842576282712,15061.10506612507,1.0915550734006632,62.88070774078369,122.00462517874703,,Hôpitaux-Facultés
Pérols Etang de l'Or,Aiguelongue,19,10911.234221617791,12908.68126995642,1.1830633462510778,73.46034336090088,121.843510619562,,Hôpitaux-Facultés
Pérols Etang de l'Or,Tonnelles,76,11851.993802955263,13151.10999007367,1.1096116154561668,69.98948764801025,119.84929369560848,,Les Cévennes
Pérols Etang de l'Or,Celleneuve,84,12805.63796407154,14232.79441562857,1.1114475089457605,61.87167453765869,117.4571723970912,,Mosson
Pérols Etang de l'Or,Vert Bois,165,11360.348482325564,12737.605708227162,1.1212337128605108,67.38282871246338,115.72245986920272,,Hôpitaux-Facultés
Pérols Etang de l'Or,Fac de Lettres,120,11506.560386009154,12644.308929260891,1.0988782490234987,61.653687477111816,110.25234244176424,,Hôpitaux-Facultés
Perols etang or,Celleneuve,1,12755.156138369468,14369.328685981218,1.126550591000299,50.99276208877564,108.45491113244412,,Mosson
Pérols Etang de l'Or,FacdesSciences,41,11649.923335139074,12675.775163399943,1.088056530395067,49.69373416900635,99.83180735664476,,Hôpitaux-Facultés
Pérols Etang de l'Or,Occitanie,58,12565.480487480902,13566.262760647469,1.079645364470038,45.20922565460205,99.8034922873264,,Hôpitaux-Facultés
Pérols Etang de l'Or,Place Viala,57,10922.024324383548,12106.562100151665,1.1084540503287128,46.685479164123535,94.6630279451242,,Les Cévennes
Perols etang or,Foch,1,9308.331441066566,10734.007963083954,1.153161340573626,52.78349161148071,93.98782289681046,,Centre
Pérols Etang de l'Or,Foch,343,9364.63715409984,10597.473692731306,1.131648083993487,53.112629890441895,93.67568854683353,,Centre
