departure_station,return_station,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_quartier,ret_quartier
Pont de Lattes - Gare Saint-Roch,Parvis Jules Ferry - Gare Saint-Roch,51,129.07727773251554,1387.0421650882456,10.745827534127171,5.214481353759766,10.72696322501656,Centre,Centre
Comédie,Comedie Baudin,107,74.54735324273787,676.1643267857561,9.070266043974213,5.9861602783203125,8.270108330324724,Centre,Centre
Comedie Baudin,Jean de Beins,7,296.7776744350476,1698.0213068479893,5.721526425733942,13.981645584106444,19.84030994528803,Centre,Centre
Place Albert 1er - St Charles,Albert 1er - Cathédrale,385,199.2354273120704,1107.142300043213,5.556954980245818,6.402881622314453,10.540583867882196,Centre,Centre
Antigone centre,Sud De France,70,170.65699607854873,941.05091097371,5.514282640604843,9.19731330871582,12.27457716675864,Centre,Centre
Comedie Baudin,Halles Castellane,23,391.3243062883747,2009.5163508926528,5.135168755430693,20.363052368164062,26.849548866867668,Centre,Centre
Deux Ponts - Gare Saint-Roch,Parvis Jules Ferry - Gare Saint-Roch,35,211.7338991543093,1082.3791244074157,5.111978425422515,9.772346496582031,13.406167366528813,Centre,Centre
Médiathèque Emile Zola,Sud De France,63,307.52631601796213,1524.3432555022432,4.956789634267295,4.894010543823242,11.050135210556192,Centre,Centre
Nombre d'Or,Jean de Beins,28,263.26978511976967,1134.709150444604,4.310062204549562,14.281827926635742,17.618599421064403,Centre,Centre
Observatoire,Albert 1er - Cathédrale,77,219.95512205025312,937.7772874747698,4.263493746967693,3.882411956787109,7.567599352204711,Centre,Centre
Comédie,Halles Castellane,211,389.4680360832074,1649.8173519617376,4.236078956706127,16.616329193115234,21.95367574483653,Centre,Centre
Rondelet,Gambetta,78,143.7117536651808,557.8431791493555,3.881680968482347,2.2779693603515625,4.473817862609225,Centre,Centre
Nombre d'Or,Sud De France,84,276.3293096986507,1035.6535874000413,3.7478962638073647,4.575626373291016,8.611713286556121,Centre,Centre
Comedie Baudin,Louis Blanc,49,735.4853916478231,2562.2085008451186,3.4836973377603075,9.995454788208008,20.135856459489627,Centre,Centre
Rue Jules Ferry - Gare Saint-Roch,Jean de Beins,7,553.8555269576624,1900.4941742953624,3.431389742980102,14.281827926635742,20.999157408853574,Centre,Centre
