city,IMD,gap_IMD,bottleneck,stations_needed,C1_S,C2_E,C3_D,C4_P,C5_M
Bordeaux,0.7872,0.0,Offre/hab. P,0,0.3966,0.7834,0.6521667549281008,0.41687080480929284,1.0
Marseille,0.7547,0.0,Offre/hab. P,0,0.3778,0.8403,0.619413539267355,0.1526106440301872,1.0
Nantes,0.6624,0.03759999999999997,Offre/hab. P,0,0.7855,0.8091,1.0,0.21972906793773428,0.6666666666666666
Lyon,0.6602,0.03979999999999995,Densité D,478683,0.0215,0.8124,0.006114709280915466,0.18922027116064238,1.0
Rennes,0.6213,0.07869999999999999,Offre/hab. P,13,0.6312,0.8574,0.8363516835138166,0.15455426722774748,0.6666666666666666
Lille,0.6067,0.09329999999999994,Multi-modal M,506,0.4118,0.8162,0.5655351138321708,0.5131271026386977,0.6666666666666666
La Roche-sur-Yon,0.5907,0.10929999999999995,Offre/hab. P,0,0.6159,0.8304,0.6872919270200681,0.0,0.6666666666666666
Paris,0.5782,0.12179999999999991,Offre/hab. P,1974,0.4606,0.7939,0.845733899533752,0.08911117615577588,0.6666666666666666
Belfort,0.5616,0.13839999999999997,Offre/hab. P,111,0.3313,0.7467,0.4290199921360018,0.3571238060425914,0.6666666666666666
Toulouse,0.5615,0.13849999999999996,Offre/hab. P,3200,0.2419,0.8694,0.41666735084539946,0.4289717619312601,0.6666666666666666
Vichy,0.5218,0.17819999999999991,Offre/hab. P,122,0.1734,1.0,0.253250946511326,0.19455492001313712,0.6666666666666666
Brest,0.5056,0.1943999999999999,Offre/hab. P,1256,0.123,1.0,0.1844212382261816,0.16577251341939064,0.6666666666666666
Angers,0.4867,0.21329999999999993,Offre/hab. P,0,0.2178,0.6653,0.3077380386478981,0.0,0.6666666666666666
Besançon,0.4799,0.22009999999999996,Densité D,1675,0.0973,0.7844,0.05857031787336713,0.16803056051668705,0.6666666666666666
Strasbourg,0.4665,0.23349999999999993,Offre/hab. P,2782,0.0823,0.7269,0.11714063574673426,0.08673641626844769,0.6666666666666666
Nancy,0.4661,0.23389999999999994,Offre/hab. P,0,0.8112,0.8709,0.7837400451598415,0.20584002416236566,0.3333333333333333
Périgueux,0.4646,0.23539999999999994,Offre/hab. P,0,1.0,1.0,0.22833443033145767,0.06445679513580461,0.3333333333333333
Amiens,0.4524,0.24759999999999993,Offre/hab. P,0,0.7495,0.8313,0.81714627008217,0.19455492001313712,0.3333333333333333
Carcassonne,0.4423,0.25769999999999993,Offre/hab. P,0,0.8256,0.5977,0.813886192343718,0.1279814268196054,0.3333333333333333
Auray,0.4352,0.2648,Multi-modal M,4,0.5915,0.7861,0.6521667549281008,0.3921222480242716,0.3333333333333333
Grenoble,0.4294,0.27059999999999995,Offre/hab. P,0,0.003,0.631,0.006114709280915466,0.0,0.6666666666666666
