city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,rang
Grenoble,697,0,0,697,1,1,6782,0.8984297619616785,1,5.81,voi_Grenoble,160000.0,4.35625,42.3875,0.6096,0.59141810570382,0.6727931484888642,1.918392120161421,0.7371609048824045,1.678264103363953,1.0,0.0,0.643055899809843,1
Le Havre,470,0,0,470,1,1,4162,0.7907256126862086,1,11.777,voi_Le_Havre,171000.0,2.7485380116959064,24.339181286549707,0.7448,0.7329147043432758,0.325826002799833,2.547646679609186,1.0,1.3213659004180105,0.7700527486041144,0.0,0.6168388242935582,2
Besançon,33,0,0,33,1,1,472,0.8011122881355932,1,7.466,besancon,117000.0,0.282051282051282,4.034188034188034,1.0,1.0,0.35928650695045733,2.136058142098732,0.8280798174033692,0.2484613592984996,0.0787871490461268,0.0,0.5672556625752072,3
Nancy,37,0,0,37,1,1,689,0.870944965284588,1,4.221,nancy,104000.0,0.3557692307692308,6.625,0.8112,0.802407116692831,0.5842513279829258,1.6526889544284151,0.6261769181911789,0.3043689912367956,0.11480808215856163,0.0,0.5292415629656009,4
Nantes,124,0,0,124,1,1,2467,0.8091027367705323,1,4.959,nantes,323000.0,0.3839009287925696,7.637770897832818,0.7855,0.7755102040816326,0.3850276058244548,1.7849026817648417,0.6814024798235464,0.3249062713909122,0.12804012166900341,0.0,0.48439647689566323,5
Toulouse,434,0,0,434,1,1,7716,0.8696712508844583,1,3.326,toulouse,498000.0,0.8714859437751004,15.49397590361446,0.5601,0.5396127681841968,0.580148077989226,1.4646433275308672,0.5476304195246479,0.6267327376609383,0.32250500197504883,0.0,0.46482268415375244,6
Marseille,221,1268,803,2292,3,1,5060,0.8518511803314356,3,2.598,levelo_inurba_marseille,868000.0,0.2546082949308755,5.829493087557604,0.4578,0.4325484039769754,0.5227410137549082,1.2803781355283412,0.4706630053034175,0.2268234082726102,0.06484595426517221,1.0,0.46430926883227897,7
Amiens,45,0,0,45,1,1,850,0.8312679738562092,1,3.369,amiens,135000.0,0.3333333333333333,6.296296296296297,0.7495,0.7378335949764522,0.4564325525871653,1.4745341499692988,0.5517618076578823,0.2876820724517809,0.10405680608822039,0.0,0.4614190990845365,8
Paris,1507,0,18364,19871,3,1,48229,0.794439307471717,2,3.635,Paris,2161000.0,0.6973623322535863,22.31790837575197,0.499,0.47566718995290425,0.33778960947939074,1.5336361990178184,0.5764486833559171,0.5290754768694694,0.2595850474544296,0.5,0.4313750531450668,9
Rennes,57,0,0,57,1,1,1410,0.8574343660569864,1,2.876,le_velo_star,225000.0,0.2533333333333333,6.266666666666667,0.6312,0.6140240711669283,0.5407271547539099,1.3548036940285195,0.5017504978866675,0.2258066687336934,0.06419087542075771,0.0,0.42936774092900304,10
Rouen,131,0,0,131,1,1,1526,0.8176342881154143,1,2.776,inurba-rouen,112000.0,1.1696428571428572,13.625,0.4863,0.4623757195185767,0.41251185818006286,1.3286652482832542,0.4908324912956699,0.774562572045454,0.41775082784483364,0.0,0.40266980283644777,11
Lyon,452,0,1404,1856,2,1,9451,0.8134595970674744,2,2.228,lyon,522000.0,0.8659003831417624,18.10536398467433,0.3275,0.2961800104657248,0.39906315962219635,1.1718627504077024,0.4253362210899235,0.6237437157598964,0.32057919409808744,0.5,0.3717739163779643,12
Bourg-en-Bresse,45,0,0,45,1,1,527,0.7935570122477144,1,2.103,beb,41000.0,1.0975609756097562,12.853658536585366,0.4869,0.463003663003663,0.33494730992466987,1.132369385466243,0.4088398760916894,0.7407752295491999,0.3959818570995206,0.0,0.36380318016553237,13
Bordeaux,225,0,9597,9822,4,1,4520,0.7833763244573198,2,2.048,velo-tbm-bordeaux,264000.0,0.8522727272727273,17.12121212121212,0.3966,0.3684981684981685,0.3021503916300012,1.1144856378244,0.4013698498885917,0.6164133863285559,0.3158563092792518,0.5,0.36373946482655695,14
Saint-Quentin-en-Yvelines,382,0,0,382,1,1,3067,0.781862146784637,1,2.629,voi_SQY,250000.0,1.528,12.268,0.4055,0.37781266352694926,0.29727249315820603,1.2889571282309331,0.4742464432699992,0.927428476284611,0.5162413616211131,0.0,0.3599474152448031,15
Lille,268,0,0,268,1,1,5153,0.8161713682526801,1,2.099,v_lille,238000.0,1.1260504201680672,21.65126050420168,0.4118,0.3844060701203558,0.40779908590007913,1.131079478805611,0.4083010831749338,0.7542659956159908,0.4046738722194547,0.0,0.3596328899790315,16
Cergy-Pontoise,45,0,0,45,1,1,873,0.878885070637648,1,1.759,cergy,215000.0,0.2093023255813953,4.06046511627907,0.4451,0.4192569335426478,0.6098302468022482,1.014868295235149,0.35975977048422997,0.1900436028878649,0.041148958636480916,0.0,0.35635893965567456,17
Brest,40,75,0,115,2,1,400,1.0,2,0.433,velozef,142000.0,0.2816901408450704,2.816901408450704,0.123,0.08215593929879644,1.0,0.3597701488460347,0.08612583104763824,0.2481796294755346,0.07860563230580052,0.5,0.3536627928450366,18
Pau,40,0,0,40,1,1,420,0.9547619047619048,1,0.948,idecycle_pau,78000.0,0.5128205128205128,5.384615384615385,0.2427,0.2074306645735217,0.85426622013396,0.6668032052203433,0.21437327796234262,0.413975797776073,0.18542705331041384,0.0,0.34648446799457705,19
Épinal,105,0,0,105,1,1,1585,0.9460911390823624,1,0.194,vilvolt_epinal,32000.0,3.28125,49.53125,0.0445,0.0,0.8263334910886322,0.1773090149704103,0.00991197037400636,1.4542450230283983,0.8556659255827153,0.0,0.3369156556843666,20
Belfort,32,0,52,84,2,1,540,0.7419354838709677,2,1.965,Optymo_FR_Belfort,50000.0,0.64,10.8,0.4574,0.43212977498691785,0.16864940517844668,1.0868770324496888,0.3898377588688361,0.494696241836107,0.23743472409678526,0.5,0.33538404417897205,21
