city,IMD,IMD_attendu,IES,n_dock
Marseille,0.7547,0.37017380096994074,2.0388,221
Bordeaux,0.7872,0.4327016491819302,1.8193,225
Lille,0.6067,0.3779897819964394,1.6051,268
Nantes,0.6624,0.45614959226142626,1.4522,124
Belfort,0.5616,0.3936217440494368,1.4268,32
Lyon,0.6602,0.4639655732879249,1.423,452
La Roche-sur-Yon,0.5907,0.4248856681554315,1.3903,0
Rennes,0.6213,0.45614959226142626,1.3621,57
Vichy,0.5218,0.3936217440494368,1.3256,8
Toulouse,0.5615,0.4405176302084289,1.2746,434
Brest,0.5056,0.40925370610243417,1.2354,40
Amiens,0.4524,0.3779897819964394,1.1969,45
Besançon,0.4799,0.40143772507593545,1.1955,33
Carcassonne,0.4423,0.37017380096994074,1.1948,10
Angers,0.4867,0.41706968712893283,1.167,0
Périgueux,0.4646,0.40143772507593545,1.1573,3
Strasbourg,0.4665,0.41706968712893283,1.1185,39
Nancy,0.4661,0.41706968712893283,1.1176,37
Argelès-sur-Mer,0.4258,0.3858057630229381,1.1037,6
Paris,0.5782,0.5577573456059091,1.0367,1507
Mulhouse,0.3551,0.34672585789044474,1.0242,60
Grenoble,0.4294,0.4248856681554315,1.0106,0
Auray,0.4352,0.4327016491819302,1.0058,11
Longwy,0.3734,0.3779897819964394,0.9879,39
Épinal,0.3876,0.3936217440494368,0.9847,105
Pointe-à-Pitre,0.3247,0.3310938958374473,0.9807,14
Calais,0.353,0.36235781994344207,0.9742,89
Bourg-en-Bresse,0.4057,0.4248856681554315,0.9548,45
Soissons,0.3483,0.3858057630229381,0.9028,28
Saint-Brieuc,0.3679,0.40925370610243417,0.899,12
Clermont-Ferrand,0.3632,0.40925370610243417,0.8875,82
Troyes,0.3546,0.40143772507593545,0.8833,30
Louviers,0.3532,0.40925370610243417,0.863,40
Libourne,0.3585,0.41706968712893283,0.8596,66
Reims,0.3434,0.40143772507593545,0.8554,63
Saint-Étienne,0.3023,0.35454183891694335,0.8526,97
Montpellier,0.3516,0.41238009851303364,0.8526,53
Avignon,0.3276,0.3858057630229381,0.8491,29
Laon,0.3276,0.3858057630229381,0.8491,19
Valence,0.3336,0.3936217440494368,0.8475,68
Landerneau,0.3597,0.4248856681554315,0.8466,14
Auxerre,0.3393,0.40143772507593545,0.8452,55
Dijon,0.3784,0.44833361123492754,0.844,40
Agen,0.3377,0.40143772507593545,0.8412,16
Cergy-Pontoise,0.3799,0.45614959226142626,0.8328,45
PAU,0.3535,0.4248856681554315,0.832,40
Les Sables-d'Olonne,0.352,0.4248856681554315,0.8285,16
La Baule,0.3899,0.4717815543144236,0.8264,14
Niort,0.3547,0.4405176302084289,0.8052,51
Brive-la-Gaillarde,0.3288,0.40925370610243417,0.8034,26
Ardenne Métropole,0.3072,0.3858057630229381,0.7963,34
La Réunion,0.2884,0.36235781994344207,0.7959,31
Cholet,0.3367,0.4248856681554315,0.7924,16
Caen,0.3304,0.41706968712893283,0.7922,75
Royan,0.322,0.4248856681554315,0.7579,8
Cherbourg-en-Cotentin,0.2997,0.40143772507593545,0.7466,49
Chantrerie,0.3279,0.44833361123492754,0.7314,16
Tarbes,0.2792,0.3936217440494368,0.7093,13
Châtellerault,0.2624,0.3858057630229381,0.6801,0
Annecy,0.3089,0.4639655732879249,0.6658,80
Saint-Nazaire,0.2725,0.40925370610243417,0.6658,5
Montreuil-Bellay,0.2459,0.40143772507593545,0.6125,0
