rang,city,IMD,C1_S,C2_E,C3_D,C4_P,C5_M,n_total,population,dock_per_1k_hab
1,Bordeaux,0.787,0.397,0.783,0.652,0.417,1.0,9921,264000.0,0.852
2,Marseille,0.755,0.378,0.84,0.619,0.153,1.0,2390,873000.0,0.253
3,Nantes,0.662,0.786,0.809,1.0,0.22,0.667,165,323000.0,0.384
4,Lyon,0.66,0.022,0.812,0.006,0.189,1.0,2057,1400000.0,0.323
5,Rennes,0.621,0.631,0.857,0.836,0.155,0.667,112,222000.0,0.257
6,Lille,0.607,0.412,0.816,0.566,0.513,0.667,345,236000.0,1.136
7,La Roche-sur-Yon,0.591,0.616,0.83,0.687,0.0,0.667,181,55000.0,0.0
8,Paris,0.578,0.461,0.794,0.846,0.089,0.667,19871,10700000.0,0.141
9,Belfort,0.562,0.331,0.747,0.429,0.357,0.667,84,46000.0,0.696
10,Toulouse,0.562,0.242,0.869,0.417,0.429,0.667,562,490000.0,0.886
…,…,,,,,,,…,…,
58,La Réunion,0.288,0.1,0.796,0.107,0.145,0.333,31,130000.0,0.238
59,Tarbes,0.279,0.069,0.722,0.042,0.186,0.333,13,41000.0,0.317
60,Saint-Nazaire,0.272,0.026,0.989,0.03,0.045,0.333,5,72000.0,0.069
61,Châtellerault,0.262,0.01,0.979,0.012,0.0,0.333,13,32000.0,0.0
62,Montreuil-Bellay,0.246,0.007,0.721,0.047,0.0,0.333,28,4000.0,0.0
