rang,city,IMD,rank_mc_mean,rank_mc_std,rank_mc_p05,rank_mc_p95,top10_freq_mc
1,Nantes,0.7376,2.04,2.03,1,6,0.9885
2,Nancy,0.682,6.85,4.7,2,16,0.7961
3,Rennes,0.6608,4.88,3.53,2,12,0.9281
4,Amiens,0.6586,8.84,5.21,3,19,0.7057
5,Périgueux,0.6387,16.22,11.68,1,40,0.3542
6,Carcassonne,0.6124,15.86,11.55,5,43,0.4404
7,Bordeaux,0.6078,3.93,2.89,1,10,0.9722
8,Auray,0.5966,11.04,3.34,7,18,0.476
9,La Roche-sur-Yon,0.5965,12.01,8.28,6,31,0.6338
10,Paris,0.5858,10.49,6.41,4,24,0.6329
11,Lille,0.5843,7.14,3.06,3,12,0.8183
12,Marseille,0.5702,8.23,5.32,2,18,0.6937
13,Argelès-sur-Mer,0.5692,16.35,6.46,9,29,0.1244
14,Bourg-en-Bresse,0.5238,15.56,3.58,9,22,0.0859
15,Cergy-Pontoise,0.5224,20.61,7.65,13,37,0.0004
16,Toulouse,0.5043,12.69,3.94,7,19,0.3318
17,Dijon,0.5037,23.43,7.54,15,39,0.0
18,La Baule,0.4996,19.01,3.06,14,25,0.0
19,Belfort,0.4921,15.66,4.05,9,22,0.1155
20,Saint-Brieuc,0.4847,25.53,7.22,18,40,0.0
21,Clermont-Ferrand,0.4611,25.01,3.14,21,31,0.0
22,PAU,0.4539,26.45,4.9,18,34,0.0013
24,Vichy,0.4485,21.8,8.31,10,36,0.0669
25,Épinal,0.4475,20.21,13.12,1,41,0.2791
26,Mulhouse,0.4454,27.91,3.44,23,34,0.0
27,Landerneau,0.4392,26.92,4.5,19,34,0.0002
28,Troyes,0.4378,30.54,6.93,21,43,0.0
29,Reims,0.4266,34.05,7.56,23,47,0.0
30,Niort,0.4213,30.44,4.35,23,38,0.0
32,Longwy,0.4185,24.82,12.29,2,41,0.1722
33,Cholet,0.4168,36.62,7.0,27,48,0.0
34,Brest,0.4153,27.72,10.28,12,44,0.0238
35,Agen,0.408,36.33,3.82,30,42,0.0
36,Calais,0.4079,30.35,7.08,16,39,0.0103
37,Avignon,0.3983,40.11,6.28,30,50,0.0
38,Soissons,0.3956,35.1,7.77,22,50,0.0
39,Royan,0.3918,39.58,7.75,24,49,0.0013
40,Caen,0.3818,39.32,3.58,33,44,0.0
41,Brive-la-Gaillarde,0.3806,41.98,4.18,35,49,0.0
42,Libourne,0.3804,31.9,14.68,5,50,0.1187
43,Valence,0.3767,38.2,6.94,24,46,0.0
45,Louviers,0.3738,34.11,13.78,7,51,0.0809
46,Auxerre,0.3715,36.05,11.33,13,49,0.0336
47,Laon,0.3673,42.56,4.9,34,50,0.0
48,Angers,0.3599,39.11,12.01,18,55,0.0
49,Pointe-à-Pitre,0.3594,43.05,5.98,29,49,0.0
50,Annecy,0.3449,46.27,5.17,34,51,0.0
51,Lyon,0.3392,33.35,15.54,6,52,0.1139
52,Ardenne Métropole,0.3301,49.22,3.81,42,53,0.0
53,Besançon,0.3289,42.38,10.5,19,52,0.0
54,Saint-Étienne,0.3212,50.8,2.48,47,54,0.0
55,Strasbourg,0.3095,45.99,10.17,22,55,0.0
56,La Réunion,0.3054,53.92,1.24,52,56,0.0
57,Cherbourg-en-Cotentin,0.3017,53.02,3.03,48,57,0.0
58,Saint-Nazaire,0.3014,53.45,5.5,42,57,0.0
59,Châtellerault,0.2835,55.58,4.51,47,58,0.0
60,Tarbes,0.2709,56.23,1.27,54,58,0.0
61,Grenoble,0.2265,54.39,7.92,34,59,0.0
62,Montreuil-Bellay,0.2251,58.79,0.41,58,59,0.0
