city,rang_nominal,IMD_nominal,IMD_bs_mean,IMD_ci95_low,IMD_ci95_high,IMD_ci_width,rang_bs_mean,rang_ci95_low,rang_ci95_high,rang_ci_width,pct_top10,pct_top20
Bordeaux,1,0.7872,0.7873,0.6515,0.907,0.2555,1.1,1.0,2.0,1.0,100.0,100.0
Marseille,2,0.7547,0.7544,0.5812,0.8968,0.3156,2.2,2.0,4.0,2.0,99.8,100.0
Nantes,3,0.6624,0.6614,0.5568,0.7408,0.184,3.6,1.0,6.0,5.0,99.7,100.0
Lyon,4,0.6602,0.6605,0.4338,0.8592,0.4255,5.3,3.0,16.0,13.0,89.6,98.9
Rennes,5,0.6213,0.6203,0.5149,0.6908,0.176,5.3,4.0,9.0,5.0,98.6,100.0
Lille,6,0.6067,0.6067,0.5475,0.661,0.1135,6.1,3.0,10.0,7.0,98.6,100.0
La Roche-sur-Yon,7,0.5907,0.5895,0.4578,0.6676,0.2098,7.7,5.0,15.0,10.0,90.2,99.4
Paris,8,0.5782,0.5775,0.4607,0.661,0.2003,8.6,5.0,13.0,8.0,87.6,99.7
Belfort,9,0.5616,0.5616,0.4819,0.6322,0.1503,9.5,7.0,14.0,7.0,81.0,100.0
Toulouse,10,0.5615,0.5615,0.4645,0.6478,0.1833,9.3,5.0,15.0,10.0,81.8,100.0
Vichy,11,0.5218,0.5214,0.393,0.6453,0.2523,12.3,8.0,20.0,12.0,12.2,97.9
Brest,12,0.5056,0.5052,0.3654,0.6381,0.2727,14.3,10.0,24.0,14.0,4.6,92.9
Angers,13,0.4867,0.4862,0.3515,0.5978,0.2463,16.5,12.0,34.0,22.0,0.0,86.4
Besançon,14,0.4799,0.4798,0.3401,0.6029,0.2628,17.1,13.0,30.0,17.0,0.0,82.0
Strasbourg,15,0.4665,0.4664,0.3242,0.5923,0.2682,19.3,14.0,40.0,26.0,0.0,68.1
Nancy,16,0.4661,0.4647,0.3619,0.5917,0.2298,15.9,7.0,28.0,21.0,13.2,87.8
Périgueux,17,0.4646,0.4627,0.3277,0.6367,0.309,18.0,5.0,44.0,39.0,17.0,72.6
Amiens,18,0.4524,0.4511,0.3549,0.5686,0.2137,18.3,9.0,32.0,23.0,6.2,80.1
Carcassonne,19,0.4423,0.441,0.3402,0.565,0.2247,21.3,8.0,52.0,44.0,7.5,64.8
Auray,20,0.4352,0.4345,0.3726,0.5154,0.1428,19.2,13.0,24.0,11.0,0.3,60.9
Grenoble,21,0.4294,0.4293,0.2667,0.5727,0.3059,24.7,16.0,55.0,39.0,0.0,49.0
Argelès-sur-Mer,22,0.4258,0.4249,0.3582,0.5091,0.1509,21.8,13.0,36.0,23.0,0.2,32.7
Bourg-en-Bresse,23,0.4057,0.4053,0.3617,0.4781,0.1165,22.2,16.0,26.0,10.0,0.1,18.5
La Baule,24,0.3899,0.3895,0.3514,0.4657,0.1143,25.1,20.0,28.0,8.0,0.0,3.9
Épinal,25,0.3876,0.3885,0.254,0.56,0.306,27.5,6.0,50.0,44.0,6.3,34.4
Cergy-Pontoise,26,0.3799,0.3789,0.3047,0.4762,0.1715,29.3,19.0,53.0,34.0,0.0,6.3
Dijon,27,0.3784,0.3774,0.311,0.4659,0.1549,29.5,20.0,51.0,31.0,0.0,4.1
Longwy,28,0.3734,0.3741,0.2651,0.5111,0.246,30.2,10.0,49.0,39.0,3.1,23.2
Saint-Brieuc,29,0.3679,0.3669,0.3044,0.4655,0.1612,32.1,23.0,51.0,28.0,0.0,0.6
Clermont-Ferrand,30,0.3632,0.3627,0.3252,0.4527,0.1275,31.0,26.0,38.0,12.0,0.0,0.0
