rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,revenu_median_uc,taux_chomage,part_cadres,part_diplomes_sup,part_sans_voiture,taux_pauvrete,part_velo,fub_score_2023,fub_rank_2023,emp_part_velo_2019,infra_cyclable_km,infra_cyclable_km_per_km2,gtfs_stops_within_300m_pct,eco_avg_daily_bike_counts,baac_accidents_cyclistes,baac_accidents_cyclistes_per_100k,fragilite_sociale,niveau_socio,quadrant,desert_score,IMD_attendu,IES,cluster,typology,region,department,quadrant_simple,IMD_bs_mean,IMD_ci95_low,IMD_ci95_high,rang_ci95_low,rang_ci95_high,pct_top10
1,Bordeaux,225,99,9597,9921,5,1,4520,0.7834,3,1.89,Le Vélo par TBM,264000.0,0.8522727272727272,17.12121212121212,0.3966,0.3966,0.7834,1.0612565021243408,0.6521667549281008,0.6164133863285559,0.4168708048092928,1.0,0.7872,20500.0,10.5,24.0,50.0,30.0,18.0,4.0,3.46,3.0,4.9,323.07,6.54,,5500.0,45.0,17.0,0.2735,0.7434335839598998,"Villes Favorisées
Bien Équipées",37.376,0.4327016491819302,1.8193,1,C1 — Villes Moyennes,Nouvelle-Aquitaine,Gironde,Favorisée,0.7873,0.6515,0.907,1.0,2.0,100.0
2,Marseille,221,98,2071,2390,4,1,5190,0.8403,3,1.74,levélo - Marseille,873000.0,0.2531500572737686,5.945017182130584,0.3778,0.3778,0.8403,1.007957920399979,0.619413539267355,0.2256604271423243,0.1526106440301872,1.0,0.7547,16500.0,17.0,15.0,35.0,20.0,30.0,0.8,2.49,11.0,1.2,221.84,0.922,,,15.0,1.7,0.371,0.5351503759398497,Mobilité Inclusive ★,39.284333333333336,0.3701738009699407,2.0388,0,C0 — Villes Fragiles,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Inclusive,0.7544,0.5812,0.8968,2.0,4.0,99.8
3,Nantes,124,0,41,165,2,1,2467,0.8091,2,4.09,Naolib,323000.0,0.3839009287925696,7.637770897832817,0.7855,0.7855,0.8091,1.6272778305624314,1.0,0.3249062713909122,0.2197290679377342,0.6666666666666666,0.6624,22000.0,8.5,26.0,52.0,30.0,14.0,5.0,3.71,2.0,4.7,353.32,5.419,,4800.0,20.0,6.2,0.2435,0.7916290726817043,"Villes Favorisées
Bien Équipées",37.792,0.4561495922614262,1.4522,1,C1 — Villes Moyennes,Pays de la Loire,Loire-Atlantique,Favorisée,0.6614,0.5568,0.7408,1.0,6.0,99.7
4,Lyon,452,201,1404,2057,3,1,9457,0.8124,3,0.01,Vélo'v,1400000.0,0.3228571428571428,6.755,0.0215,0.0215,0.8124,0.009950330853168,0.0061147092809154,0.2797938996027747,0.1892202711606423,1.0,0.6602,22500.0,9.5,28.0,50.0,35.0,18.0,3.5,3.28,5.0,3.2,406.12,8.478,,6800.0,141.0,10.1,0.2625,0.8057894736842106,"Villes Favorisées
Bien Équipées",37.79933333333334,0.4639655732879249,1.423,1,C1 — Villes Moyennes,Auvergne-Rhône-Alpes,Rhône,Favorisée,0.6605,0.4338,0.8592,3.0,16.0,89.6
5,Rennes,57,55,0,112,2,1,1410,0.8574,2,2.9,LE vélo STAR,222000.0,0.2567567567567568,6.351351351351352,0.6312,0.6312,0.8574,1.3609765531356006,0.8363516835138166,0.2285343999490862,0.1545542672277474,0.6666666666666666,0.6213,22000.0,8.0,27.0,55.0,28.0,15.0,6.0,3.38,4.0,5.2,257.81,5.115,,4200.0,64.0,28.8,0.245,0.8152005012531327,"Villes Favorisées
Bien Équipées",37.929,0.4561495922614262,1.3621,1,C1 — Villes Moyennes,Bretagne,Ille-et-Vilaine,Favorisée,0.6203,0.5149,0.6908,4.0,9.0,98.6
6,Lille,268,77,0,345,2,1,5153,0.8162,2,1.51,V'lille,236000.0,1.135593220338983,21.834745762711865,0.4118,0.4118,0.8162,0.9202827531436926,0.5655351138321708,0.7587444630457585,0.5131271026386977,0.6666666666666666,0.6067,17000.0,16.0,19.0,42.0,42.0,28.0,2.5,3.07,6.0,2.5,252.65,7.26,,3800.0,27.0,11.4,0.35,0.611453634085213,Mobilité Inclusive ★,39.37766666666667,0.3779897819964394,1.6051,0,C0 — Villes Fragiles,Hauts-de-France,Nord,Inclusive,0.6067,0.5475,0.661,3.0,10.0,98.6
7,La Roche-sur-Yon,0,31,150,181,3,0,0,0.8304,2,2.06,—,55000.0,0.0,0.0,0.6159,0.6159,0.8304,1.118414915964289,0.6872919270200681,0.0,0.0,0.6666666666666666,0.5907,20000.0,10.5,17.0,38.0,18.0,17.0,2.0,,,,,,,,,,0.2825,0.6164160401002505,"Villes Favorisées
Bien Équipées",38.031,0.4248856681554315,1.3903,0,C0 — Villes Fragiles,Pays de la Loire,Vendée,Favorisée,0.5895,0.4578,0.6676,5.0,15.0,90.2
8,Paris,1507,0,18364,19871,3,1,48410,0.7939,2,2.96,Vélib' Metropole,10700000.0,0.1408411214953271,4.524299065420561,0.4606,0.4606,0.7939,1.3762440252663892,0.845733899533752,0.1317658162198021,0.0891111761557758,0.6666666666666666,0.5782,28500.0,8.5,35.0,60.0,64.0,20.0,4.2,2.89,7.0,3.7,1173.58,11.135,,12500.0,1013.0,9.5,0.2555,1.0,"Villes Favorisées
Bien Équipées",38.07266666666666,0.5577573456059091,1.0367,1,C1 — Villes Moyennes,Île-de-France,Paris,Favorisée,0.5775,0.4607,0.661,5.0,13.0,87.6
9,Belfort,32,0,52,84,2,1,560,0.7467,2,1.01,Optymo Belfort,46000.0,0.6956521739130436,12.17391304347826,0.3313,0.3313,0.7467,0.6981347220709844,0.4290199921360018,0.5280674302004968,0.3571238060425914,0.6666666666666666,0.5616,18000.0,13.0,15.0,36.0,22.0,22.0,2.0,3.02,,2.8,43.91,2.218,,1900.0,3.0,6.5,0.319,0.561203007518797,Mobilité Inclusive ★,38.328,0.3936217440494368,1.4268,0,C0 — Villes Fragiles,Bourgogne-Franche-Comté,Territoire de Belfort,Inclusive,0.5616,0.4819,0.6322,7.0,14.0,81.0
10,Toulouse,434,0,128,562,2,1,7728,0.8694,2,0.97,VélÔToulouse,490000.0,0.8857142857142857,15.771428571428572,0.2419,0.2419,0.8694,0.6780335427498971,0.4166673508453994,0.6343066805370119,0.4289717619312601,0.6666666666666666,0.5615,21000.0,10.5,25.0,52.0,28.0,18.0,1.5,2.72,9.0,2.2,640.7,5.416,,3200.0,23.0,4.7,0.2714999999999999,0.7690225563909774,"Villes Favorisées
Bien Équipées",38.12833333333333,0.4405176302084289,1.2746,1,C1 — Villes Moyennes,Occitanie,Haute-Garonne,Favorisée,0.5615,0.4645,0.6478,5.0,15.0,81.8
