composante,w_key,delta,w_original,w_new,rho_nominal,rank_mae
C1_S (Couverture),C1_S,-40%,0.1839,0.11911393224949803,0.9879502903038203,1.9193548387096775
C1_S (Couverture),C1_S,-20%,0.1839,0.152753550959382,0.996461893029215,0.9838709677419355
C1_S (Couverture),C1_S,+20%,0.1839,0.21287186016900106,0.9950516866605105,1.0161290322580645
C1_S (Couverture),C1_S,+40%,0.1839,0.23984126096920239,0.9871948226062998,1.8870967741935485
C2_E (Électricité),C2_E,-40%,0.0689,0.042515992348355514,0.992986741620622,0.8548387096774194
C2_E (Électricité),C2_E,-20%,0.0689,0.055895834178396143,0.9968648091345592,0.532258064516129
C2_E (Électricité),C2_E,+20%,0.0689,0.08156420172046407,0.9988793896612799,0.3870967741935484
C2_E (Électricité),C2_E,+40%,0.0689,0.0938820002725167,0.9977210058584153,0.6612903225806451
C3_D (Densité),C3_D,-40%,0.0511,0.03130296285708452,0.9977713703715835,0.7258064516129032
C3_D (Densité),C3_D,-20%,0.0511,0.04130628081804219,0.9988038428915277,0.43548387096774194
C3_D (Densité),C3_D,+20%,0.0511,0.0607056587336158,0.999332670279792,0.27419354838709675
C3_D (Densité),C3_D,+40%,0.0511,0.07011388360742497,0.9978972816545035,0.6612903225806451
C4_P (Part modale),C4_P,-40%,0.1184,0.07457954521594895,0.9821835535460822,1.9193548387096775
C4_P (Part modale),C4_P,-20%,0.1184,0.09702730941795908,0.9952027802000146,0.9193548387096774
C4_P (Part modale),C4_P,+20%,0.1184,0.1388069325309209,0.9963359817462949,0.8870967741935484
C4_P (Part modale),C4_P,+40%,0.1184,0.1582797013158146,0.9883532064091644,1.7580645161290323
C5_M (Multimodalité),C5_M,-40%,0.5776,0.4507452592149416,0.9838204002240427,1.6935483870967742
C5_M (Multimodalité),C5_M,-20%,0.5776,0.522490332210136,0.9977713703715835,0.46774193548387094
C5_M (Multimodalité),C5_M,+20%,0.5776,0.621398217711714,0.9982750155032637,0.45161290322580644
C5_M (Multimodalité),C5_M,+40%,0.5776,0.6569288511219068,0.9966129865687191,0.6451612903225806
