region,n_villes,IMD_mean,IMD_median,IMD_std,IMD_min,IMD_max,n_deserts,n_favorisees,IES_mean,pop_mean,pct_deserts
Provence-Alpes-Côte d'Azur,2,0.541,0.541,0.302,0.328,0.755,1,0,1.444,483500.0,50.0
Île-de-France,2,0.479,0.479,0.14,0.38,0.578,0,2,0.935,5457500.0,0.0
Bretagne,5,0.458,0.435,0.109,0.36,0.621,0,5,1.07,88000.0,0.0
Bourgogne-Franche-Comté,4,0.44,0.429,0.101,0.339,0.562,1,1,1.078,88750.0,25.0
Hauts-de-France,5,0.418,0.353,0.116,0.328,0.607,3,0,1.106,99200.0,60.0
Auvergne-Rhône-Alpes,8,0.416,0.384,0.123,0.302,0.66,2,4,0.996,268250.0,25.0
Occitanie,5,0.412,0.426,0.106,0.279,0.562,1,1,1.027,147750.0,20.0
Pays de la Loire,9,0.407,0.352,0.143,0.246,0.662,1,4,0.941,97285.714,11.1
Nouvelle-Aquitaine,9,0.397,0.354,0.156,0.262,0.787,2,1,0.951,65666.667,22.2
Grand Est,8,0.382,0.364,0.057,0.307,0.466,4,2,0.971,104750.0,50.0
Normandie,3,0.328,0.33,0.027,0.3,0.353,1,0,0.801,67666.667,33.3
Guadeloupe,1,0.325,0.325,,0.325,0.325,1,0,0.981,16000.0,100.0
La Réunion,1,0.288,0.288,,0.288,0.288,1,0,0.796,130000.0,100.0
