row_id,station_id,system_id,rule_based_station_type,rule_based_label
1,1991f970-50e8-4747-8f50-b3f5bb924488,dott-lyon,free_floating,A3
2,stn_MsWRwNgiy7Z6vgETXDuaxR,calivelo,docked_bike,ok
3,bordeaux_parking_Arceau_13933_zid51TN7DBX,pony_bordeaux,free_floating,A3
4,8,libelo,docked_bike,ok
5,256403519,Paris,docked_bike,ok
6,angers_parking_BikeRack_10_BD_Jeanneteau_zidPHCWPWA9,pony_Angers,free_floating,A3
7,cd6d77b6-a60a-4bc5-b63d-3c38c30c7314,dott-paris,free_floating,A3
8,ce4bhb92rcd13ifvqen0,levelo_inurba_marseille,docked_bike,ok
9,13373801574,Paris,docked_bike,ok
10,1034,citiz_alpes_loire,carsharing,A1
11,93,toulouse,docked_bike,ok
12,e2d22a36-31a9-4f1d-a88e-941a01458664,dott-gpseo,free_floating,A3
13,bordeaux_parking_Arceau_13810_zidH2YT0MY2,pony_bordeaux,free_floating,A3
14,stn_PnqB4i8fT4RQCYVvkQrdGF,capcotentin,docked_bike,ok
15,af1cdd41-190f-48c3-922f-bc28e80b50d0,dott-paris,free_floating,A3
16,5f47e617-94bd-4201-9902-024f937a60dc,dott-paris,free_floating,A3
17,81dd11bd-217b-45ed-91b4-23b5b6f0be52,Optymo_Belfort_ALS,carsharing,A1
18,129134084,Paris,docked_bike,ok
19,paris_parking_BELIDOR_zidYP3IJHOK,pony_paris,free_floating,A3
20,93b165a6-3cb3-4793-9f64-78593486113e,bird-bordeaux,free_floating,A3
21,751,citiz_alpes_loire,carsharing,A1
22,837,citiz_alpes_loire,carsharing,A1
23,1d1664d3-dda7-4547-9979-acc769b4f2dc,dott-lyon,free_floating,A3
24,74,mvelo_plus_grenoble,free_floating,A3
25,stn_k9Z9iQuy6vNdJtCHjaPVvQ,calivelo,docked_bike,ok
26,966,citiz_alpes_loire,carsharing,A1
27,1366,citiz_occitanie,carsharing,A1
28,nice_parking_Boulevard_James_Wyllie_base_de_voile_zidEWHTGGCH,pony_Nice,free_floating,A3
29,stn_nQ8agtNMbRPU4bVS422YmQ,tanlib,docked_bike,ok
30,d369c11c-8a83-41f7-a8bf-a2e9aee798ac,dott-paris,free_floating,A3
31,1731,citiz_occitanie,carsharing,A1
32,bordeaux_parking_Arceau_14180_zidE6FANJQ8,pony_bordeaux,free_floating,A3
33,337,citiz_lille_arras,carsharing,A1
34,41610121,Paris,docked_bike,ok
35,stn_ZPbKNmQzyz6ZtGUDifpsbn,perivelo,docked_bike,ok
36,b949f104-2268-4570-95db-37d4c5f46444,dott-paris,free_floating,A3
37,bordeaux_parking_Arceau_10852_zidAJ71RCWK,pony_bordeaux,free_floating,A3
38,1057061349,Paris,docked_bike,ok
39,limoges_parking_4_Rue_Villaris_zidIN1RPB1L,pony_Limoges,free_floating,A3
40,10,nantes,docked_bike,ok
41,3c9ee212-ff59-4b81-a634-de17aa6a9b80,dott-bourgoin-jallieu,free_floating,A3
42,76507850,Paris,docked_bike,ok
43,1187,citiz_alpes_loire,carsharing,A1
44,53e82715-22a5-49e5-8e61-c7e1a5e31bf5,bird-laval,free_floating,A3
45,5802,inurba-rouen,docked_bike,ok
46,52518,Paris,docked_bike,ok
47,725,mp_ARBRESLE,docked_bike,ok
48,85,nantes,docked_bike,ok
49,6438e81c-9d14-4b6c-87c5-cf3292c1a7e0,dott-paris,free_floating,A3
50,ce4bhl12rcd13ifvqgf0,levelo_inurba_marseille,docked_bike,ok
51,165,v_lille,docked_bike,ok
52,82ee6573-819e-4691-88e9-2bdbfd4565db,bird-draguignan,free_floating,A3
53,378,toulouse,docked_bike,ok
54,BikeRack 1 desjardins,pony_Angers,free_floating,A3
55,5aa634f3-340e-445a-a14e-a16c2b303cbc,dott-bourgoin-jallieu,free_floating,A3
56,121,amiens,docked_bike,ok
57,301841024,Paris,docked_bike,ok
58,10114,lyon,docked_bike,ok
59,beauvais_parking_Centre_Commercial_zid6M50VVC9,pony_Beauvais,free_floating,A3
60,1057399900,Paris,docked_bike,ok
61,367,citiz_metropole_lyon,carsharing,A1
62,perpignan_parking_BurgerKing_Est_zid1UHV5CR0,pony_Perpignan,free_floating,A3
63,0b1d8673-0492-446e-96a7-7266d14fa1d3,bird-bordeaux,free_floating,A3
64,393,citiz_metropole_lyon,carsharing,A1
65,stn_oCiUJkTdD2a2FQXQgf66Ad,cyclovis,docked_bike,ok
66,653153519,Paris,docked_bike,ok
67,151,citiz_grand_est,carsharing,A1
68,chf7qms3casf4nvmd1b0,velivert_saint_etienne,docked_bike,ok
69,perpignan_parking_PYRENEES_boulevard_des_zidIIK421TI,pony_Perpignan,free_floating,A3
70,ce96c26d-b6ae-4f4a-bcec-3c690d3330f0,dott-bordeaux,free_floating,A3
71,ee7f0eb3-636e-42f6-a4ef-74e2de58a98c,dott-paris,free_floating,A3
72,f7515b6e-99dc-4087-a74d-68efb9d21164,dott-paris,free_floating,A3
73,25e61dbb-6b2d-48a1-86e6-f9231cebed28,dott-bordeaux,free_floating,A3
74,f028e1c6-14e0-4616-b6d1-c425e0039570,dott-paris,free_floating,A3
75,f4ba8a9b-c71c-421d-a215-af1842026538,bird-bordeaux,free_floating,A3
76,800d77e1-013e-43af-a741-a4bf8d669e02,voi_Grenoble,free_floating,A3
77,315ab6e6-70a5-4d0b-8695-d967ea60af74,dott-siemu,free_floating,A3
78,cirqbucg3q5td18hqst0,velozef,docked_bike,ok
79,21,citiz_bfc,carsharing,A1
80,644,citiz_gironde,carsharing,A1
81,c3dja3uql9dm2f36adgg,vilvolt_epinal,docked_bike,ok
82,10084,lyon,docked_bike,ok
83,1522,citiz_developpement,carsharing,A1
84,stn_Hh8FncreXTLUjQV87B82Ny,cyclovis,docked_bike,ok
85,44ee70b8-64f1-4189-9606-0d761c49b1b0,dott-paris,free_floating,A3
86,ce4bgvp2rcd13ifvqcu0,levelo_inurba_marseille,docked_bike,ok
87,edfca9fe-0d84-4982-b86b-846f2aa452a9,bird-ajaccio,free_floating,A3
88,paris_parking_ALBERT_ROUSSEL_zidQORA4HDR,pony_paris,free_floating,A3
89,c3c35209-0a19-4861-9947-ce3af234d208,dott-paris,free_floating,A3
90,paris_parking_MORLOT_zidLRYR0GVI,pony_paris,free_floating,A3
91,8faf5e7c-623d-4582-a0aa-6e1c67062188,dott-bordeaux,free_floating,A3
92,1217,citiz_lille_arras,carsharing,A1
93,7b5c3db5-5912-4c4b-9aeb-43de810ad5a0,dott-paris,free_floating,A3
94,b0311592-00b4-46fb-a5a0-db63c5e12fec,dott-paris,free_floating,A3
95,54585617-410c-4aa8-8d8e-502893c57398,dott-paris,free_floating,A3
96,5a395828-5e0a-4047-af1c-5593638526c8,dott-bordeaux,free_floating,A3
97,cqocpipmrgc3lc0gde80,auray-quiberon,docked_bike,ok
98,317,toulouse,docked_bike,ok
99,0c393027-f3cb-4a14-9d88-9f1086fd8f66,voi_Marseille,free_floating,A3
100,6007,lyon,docked_bike,ok
101,bourges_parking_Virtual_Musee_Ecole_militaire_2_zid13OTCYXN,pony_Bourges,free_floating,A3
102,8772888e-3a4f-46e9-a06c-f0ef24590324,dott-paris,free_floating,A3
103,3050,lyon,docked_bike,ok
104,7369aa58-106f-42a6-a8f4-842047cd7248,dott-paris,free_floating,A3
105,2fb53026-0380-498a-b535-bd35b71672bc,dott-paris,free_floating,A3
106,337,toulouse,docked_bike,ok
107,7755db2a-b37d-480c-aa76-49f87f8b14a8,dott-paris,free_floating,A3
108,e30e56ba-094a-4bb7-9912-0e267c8e7590,dott-bordeaux,free_floating,A3
109,3_Av__des_Frères_Voisin,pony_Bourges,free_floating,A3
110,318,v_lille,docked_bike,ok
111,ctbhn6vaok6uht7ctbp0,twisto_velolib_caen,docked_bike,ok
112,dcd44101-1ec2-49bb-bdad-7e135731c850,dott-paris,free_floating,A3
113,bordeaux_parking_Marquage_772750_zid5IHBSU7H,pony_bordeaux,free_floating,A3
114,1063044618,Paris,docked_bike,ok
115,551,citiz_grand_poitiers,carsharing,A1
116,0ccf3a57-8646-4b04-8003-745b3d04a458,dott-paris,free_floating,A3
117,4b659396-3b25-455c-9b53-3dd0d5cb1254,dott-bordeaux,free_floating,A3
118,bd04df94-889f-4ef4-b396-50abb85d2308,dott-lyon,free_floating,A3
119,192,v_lille,docked_bike,ok
120,1057748427,Paris,docked_bike,ok
121,stn_8eDZvCMzEhapPKnGezzx3V,zebullo,free_floating,A3
122,10,CVelo_FR_Clermont-Ferrand,docked_bike,ok
123,1d1787df-8166-482b-8253-8b7c7d80a054,dott-paris,free_floating,A3
124,184,toulouse,docked_bike,ok
125,0060bbb8-5350-4998-9cfb-ba1e314c1edf,voi_Grenoble,free_floating,A3
126,f72dd236-e7f7-4fe8-9b71-e9f5db893ad8,bird-vichy,free_floating,A3
127,55d2c5cc-01b9-45b8-b3a6-04440261ea61,bird-bordeaux,free_floating,A3
128,basque_country_parking_71957_zidYDDB4WOL,pony_Basque_Country,free_floating,A3
129,18023659071,Paris,docked_bike,ok
130,bordeaux_parking_Marquage_973131_zidDL01DC64,pony_bordeaux,free_floating,A3
131,ctbhn6o1snvdkble5qug,twisto_velolib_caen,docked_bike,ok
132,50003,cergy,docked_bike,ok
133,1817,citiz_alpes_loire,carsharing,A1
134,3171542f-617d-4ce9-9e49-30b001de70a8,dott-bordeaux,free_floating,A3
135,210387163,Paris,docked_bike,ok
136,chf7r043casf4nvmd3h0,velivert_saint_etienne,docked_bike,ok
137,e8621f0c-85f9-40ce-a355-2858b14be6c0,dott-bordeaux,free_floating,A3
138,17083,donkey_valenciennes,docked_bike,ok
139,20129,donkey_brest,docked_bike,ok
140,a26c5b0e-25c1-4539-83a4-106baebadba4,dott-paris,free_floating,A3
141,1063053136,Paris,docked_bike,ok
142,la_roche_sur_yon_parking_Rdpt_Charles_Sorin_zidSFAOV0Z5,pony_La_Roche_Sur_Yon,free_floating,A3
143,1526,citiz_la_rochelle,carsharing,A1
144,39,toulouse,docked_bike,ok
145,8d02c19a-c80a-46a8-83e8-2ad5f00ddef4,dott-bordeaux,free_floating,A3
146,5e24a1ba-27f5-422b-a845-78729f576299,voi_Marseille,free_floating,A3
147,208,v_lille,docked_bike,ok
148,limoges_parking_130_Av__Montjovis_zidJ3MUDRV8,pony_Limoges,free_floating,A3
149,a2a2c193-f451-4db0-9f22-1d58fa533a19,voi_Marseille,free_floating,A3
150,307ea13c-bcf5-4caa-b782-5e226613485c,dott-paris,free_floating,A3
151,cka2u5d9c51sanpn6hn0,vivelo,docked_bike,ok
152,207633746,Paris,docked_bike,ok
