row_id,station_id,system_id,system_name,city,station_name,lat,lon,capacity,is_virtual_station_hint,label
1,1991f970-50e8-4747-8f50-b3f5bb924488,dott-lyon,Dott Lyon,Lyon,AC Rochaix,45.7477,4.87762,,True,
2,stn_MsWRwNgiy7Z6vgETXDuaxR,calivelo,CaliVélo,Libourne,ZA Palard,45.05161,-0.11348,10.0,False,
3,bordeaux_parking_Arceau_13933_zid51TN7DBX,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_13933_zid51TN7DBX,44.82688,-0.57631,,True,
4,8,libelo,Libélo,Valence,Dunkerque,44.9366,4.899,10.0,False,
5,256403519,Paris,Vélib' Metropole,Paris,Place Pigalle,48.88276,2.33616,21.0,False,
6,angers_parking_BikeRack_10_BD_Jeanneteau_zidPHCWPWA9,pony_Angers,Pony Angers,Angers,angers_parking_BikeRack_10_BD_Jeanneteau_zidPHCWPWA9,47.49315,-0.55149,,True,
7,cd6d77b6-a60a-4bc5-b63d-3c38c30c7314,dott-paris,Dott Paris,Paris,id_32461,48.86705,2.28775,,True,
8,ce4bhb92rcd13ifvqen0,levelo_inurba_marseille,levélo - Marseille,Marseille,Plage des Catalans,43.2901,5.35611,30.0,False,
9,13373801574,Paris,Vélib' Metropole,Paris,Gare RER,48.89628,2.45816,30.0,False,
10,1034,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,Quais de France (48),45.19342,5.72072,4.0,False,
11,93,toulouse,VélÔToulouse,Toulouse,BD MATABIAU - INGRES,43.61457,1.44357,17.0,False,
12,e2d22a36-31a9-4f1d-a88e-941a01458664,dott-gpseo,Dott Gpseo,Grand Paris Seine et Oise,POI61 Maréchal Foch,48.93073,2.05262,,True,
13,bordeaux_parking_Arceau_13810_zidH2YT0MY2,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_13810_zidH2YT0MY2,44.83196,-0.59397,,True,
14,stn_PnqB4i8fT4RQCYVvkQrdGF,capcotentin,CapCotentin,Cherbourg-en-Cotentin,Flamands,49.65125,-1.58401,5.0,False,
