country,name,system_id,stations,reachable,vehicle_form_factors,a1_cars,a2_placeholder,a3_overcap_ratio,a3_overcap_flag,a4_out_of_perim,a4_perim_pct,a4_perim_flag,a4_outliers,a5_macro_bbox_km2,a5_macro_hull_km2,a5_macro_flag,a6_zero_capacity_pct,capacity_nan_pct,centroid_lat,centroid_lon,any_anomaly,root_url
AE,Yaldi,511,0,True,,,,,,,,,,,,,,,,,,https://yaldi.rideatom.com/gbfs/511/v3.0/gbfs
AT,Bird Wiener Neustadt,bird-wiener neustadt,0,True,,,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/wienerneustadt/gbfs.json
AR,MiBiciTuBici,biketobike,99,True,,,False,1.021,False,0,0.0,False,0,148.0,77.9,False,2.02,0.0,-32.95277,-60.66169,False,https://www.mibicitubici.gob.ar/opendata/gbfs.json
AR,Bike Nordelta,bike_nordelta,21,True,"bicycle,scooter_standing",False,False,1.0,False,0,0.0,False,0,26.4,11.6,False,0.0,0.0,-34.41035,-58.6563,False,https://nordelta.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AE,Careem BIKE,careem_bike,225,True,"bicycle,scooter_standing",False,False,1.027,False,6,2.67,False,13,12226.9,3146.6,False,2.67,0.0,25.12746,55.19352,False,https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AT,city bike Linz,nextbike_al,50,True,"bicycle,cargo_bicycle",False,False,1.02,False,0,0.0,False,2,22.9,9.8,False,0.0,2.0,48.30445,14.29462,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_al/gbfs.json
AR,Ecobici,bike_buenosaires,392,True,"bicycle,scooter_standing",False,False,1.0,False,0,0.0,False,0,308.8,172.9,False,0.0,0.0,-34.60052,-58.43941,False,https://buenosaires.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AT,Dott Innsbruck,dott-innsbruck,56,True,scooter,False,False,,False,0,0.0,False,3,71.0,15.8,False,0.0,100.0,47.26395,11.40126,False,https://gbfs.api.ridedott.com/public/v2/innsbruck/gbfs.json
AT,Dott Korneuburg,dott-korneuburg,43,True,scooter,False,False,,False,0,0.0,False,0,13.2,5.8,False,0.0,100.0,48.34747,16.32985,False,https://gbfs.api.ridedott.com/public/v2/korneuburg/gbfs.json
AT,Dott Klopein,dott-klopein,0,False,,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/klopein/gbfs.json
AT,Dott Serfaus,dott-serfaus,0,False,,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/serfaus/gbfs.json
AE,Dott Ras Al Khaimah,dott-ras-al-khaimah,31,True,"bicycle,scooter",False,False,,False,0,0.0,False,0,413.7,72.3,False,0.0,100.0,25.7244,55.84113,False,https://gbfs.api.ridedott.com/public/v2/ras-al-khaimah/gbfs.json
AT,Dott Dornbirn,dott-dornbirn,3,True,scooter,False,False,,False,0,0.0,False,0,11.8,3.5,False,0.0,100.0,47.41339,9.73478,False,https://gbfs.api.ridedott.com/public/v2/dornbirn/gbfs.json
AT,Dott Villach,dott-villach,0,True,,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/villach/gbfs.json
AT,Dott Bregenz,dott-bregenz,98,True,scooter,False,False,,False,0,0.0,False,2,142.7,48.1,False,0.0,100.0,47.48876,9.73254,False,https://gbfs.api.ridedott.com/public/v2/bregenz/gbfs.json
AE,Dott Dubai,dott-dubai,342,True,"bicycle,scooter",False,False,,False,0,0.0,False,14,6517.5,2853.5,False,0.0,100.0,25.16149,55.29196,False,https://gbfs.api.ridedott.com/public/v2/dubai/gbfs.json
AT,Dott Feldkirchen bei Graz,dott-feldkirchen-bei-graz,25,True,scooter,False,False,,False,0,0.0,False,0,19.3,5.0,False,0.0,100.0,46.99842,15.45036,False,https://gbfs.api.ridedott.com/public/v2/feldkirchen-bei-graz/gbfs.json
AT,Dott Wels,dott-wels,47,True,scooter,False,False,,False,0,0.0,False,2,64.8,12.9,False,0.0,100.0,48.15399,14.0061,False,https://gbfs.api.ridedott.com/public/v2/wels/gbfs.json
AT,Dott Steyr,dott-steyr,16,True,scooter,False,False,,False,0,0.0,False,0,7.2,2.7,False,0.0,100.0,48.04148,14.42255,False,https://gbfs.api.ridedott.com/public/v2/steyr/gbfs.json
AT,Dott Klagenfurt,dott-klagenfurt,46,True,scooter,False,False,,False,0,0.0,False,0,48.2,18.8,False,0.0,100.0,46.6165,14.29462,False,https://gbfs.api.ridedott.com/public/v2/klagenfurt/gbfs.json
AE,Dott Sharjah,dott-sharjah,38,True,"bicycle,scooter",False,False,,False,0,0.0,False,1,3.7,1.5,False,0.0,100.0,25.30684,55.49002,False,https://gbfs.api.ridedott.com/public/v2/sharjah/gbfs.json
AT,Dott Saint Anton am Arlberg,dott-sankt-anton-am-arlberg,0,False,,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/sankt-anton-am-arlberg/gbfs.json
AT,Dott Velden-Am-Worthersee,dott-velden-am-worthersee,0,False,,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/velden-am-worthersee/gbfs.json
AE,Dott Dubai Hills,dott-dubai-hills,7,True,"bicycle,scooter",False,False,,False,0,0.0,False,0,1.1,0.3,False,0.0,100.0,25.10595,55.24432,False,https://gbfs.api.ridedott.com/public/v2/dubai-hills/gbfs.json
