,income_only__Ridge,income_only__Lasso,income_only__ElasticNet,income_only__RandomForest,income_no_cycling__Ridge,income_no_cycling__Lasso,income_no_cycling__ElasticNet,income_no_cycling__RandomForest,full_INSEE__Ridge,full_INSEE__Lasso,full_INSEE__ElasticNet,full_INSEE__RandomForest,INSEE_no_velo_travail__Ridge,INSEE_no_velo_travail__Lasso,INSEE_no_velo_travail__ElasticNet,INSEE_no_velo_travail__RandomForest
income_only__Ridge,1.0,0.9392168322618352,0.9590882524839274,0.7206312098188193,0.7510227936879017,0.6633547632963179,0.6820572764465224,0.5499707773232028,0.5604909409701928,0.5184102863822325,0.5406195207481005,0.5616598480420806,0.7510227936879017,0.6633547632963179,0.6820572764465224,0.5499707773232028
income_only__Lasso,0.9392168322618352,1.0,0.9801285797779076,0.7253068381063704,0.7744009351256574,0.6960841613091758,0.7147866744593804,0.5616598480420806,0.5745178258328462,0.532437171244886,0.5523085914669783,0.5827001753360607,0.7744009351256574,0.6960841613091758,0.7147866744593804,0.5616598480420806
income_only__ElasticNet,0.9590882524839274,0.9801285797779076,1.0,0.7241379310344827,0.7708942139099941,0.6832261835184102,0.7019286966686147,0.5581531268264173,0.5710111046171829,0.5289304500292227,0.5511396843950905,0.5768556399766218,0.7708942139099941,0.6832261835184102,0.7019286966686147,0.5581531268264173
income_only__RandomForest,0.7206312098188193,0.7253068381063704,0.7241379310344827,1.0,0.6376388077147865,0.5639976621858562,0.575686732904734,0.4389246054938632,0.4751607247223845,0.45412039742840443,0.46697837521917,0.4763296317942723,0.6376388077147865,0.5639976621858562,0.575686732904734,0.4389246054938632
income_no_cycling__Ridge,0.7510227936879017,0.7744009351256574,0.7708942139099941,0.6376388077147865,1.0,0.8866160140268847,0.9029807130333137,0.618936294564582,0.7019286966686147,0.6388077147866744,0.6633547632963179,0.668030391583869,0.9999999999999998,0.8866160140268847,0.9029807130333137,0.618936294564582
income_no_cycling__Lasso,0.6633547632963179,0.6960841613091758,0.6832261835184102,0.5639976621858562,0.8866160140268847,1.0,0.9812974868497953,0.624780829924021,0.6890707188778491,0.6259497369959087,0.6528345996493278,0.6504967855055522,0.8866160140268847,0.9999999999999998,0.9812974868497953,0.624780829924021
income_no_cycling__ElasticNet,0.6820572764465224,0.7147866744593804,0.7019286966686147,0.575686732904734,0.9029807130333137,0.9812974868497953,1.0,0.6294564582115721,0.6937463471654003,0.6306253652834599,0.657510227936879,0.6598480420806545,0.9029807130333137,0.9812974868497953,0.9999999999999998,0.6294564582115721
income_no_cycling__RandomForest,0.5499707773232028,0.5616598480420806,0.5581531268264173,0.4389246054938632,0.618936294564582,0.624780829924021,0.6294564582115721,1.0,0.575686732904734,0.5406195207481005,0.5558153126826417,0.7638807714786674,0.618936294564582,0.624780829924021,0.6294564582115721,0.9999999999999998
full_INSEE__Ridge,0.5604909409701928,0.5745178258328462,0.5710111046171829,0.4751607247223845,0.7019286966686147,0.6890707188778491,0.6937463471654003,0.575686732904734,1.0,0.9368790181180594,0.9614260666277031,0.7346580946814728,0.7019286966686147,0.6890707188778491,0.6937463471654003,0.575686732904734
full_INSEE__Lasso,0.5184102863822325,0.532437171244886,0.5289304500292227,0.45412039742840443,0.6388077147866744,0.6259497369959087,0.6306253652834599,0.5406195207481005,0.9368790181180594,1.0,0.9731151373465808,0.7253068381063704,0.6388077147866744,0.6259497369959087,0.6306253652834599,0.5406195207481005
full_INSEE__ElasticNet,0.5406195207481005,0.5523085914669783,0.5511396843950905,0.46697837521917,0.6633547632963179,0.6528345996493278,0.657510227936879,0.5558153126826417,0.9614260666277031,0.9731151373465808,1.0,0.7334891876095849,0.6633547632963179,0.6528345996493278,0.657510227936879,0.5558153126826417
full_INSEE__RandomForest,0.5616598480420806,0.5827001753360607,0.5768556399766218,0.4763296317942723,0.668030391583869,0.6504967855055522,0.6598480420806545,0.7638807714786674,0.7346580946814728,0.7253068381063704,0.7334891876095849,1.0,0.668030391583869,0.6504967855055522,0.6598480420806545,0.7638807714786674
INSEE_no_velo_travail__Ridge,0.7510227936879017,0.7744009351256574,0.7708942139099941,0.6376388077147865,0.9999999999999998,0.8866160140268847,0.9029807130333137,0.618936294564582,0.7019286966686147,0.6388077147866744,0.6633547632963179,0.668030391583869,1.0,0.8866160140268847,0.9029807130333137,0.618936294564582
INSEE_no_velo_travail__Lasso,0.6633547632963179,0.6960841613091758,0.6832261835184102,0.5639976621858562,0.8866160140268847,0.9999999999999998,0.9812974868497953,0.624780829924021,0.6890707188778491,0.6259497369959087,0.6528345996493278,0.6504967855055522,0.8866160140268847,1.0,0.9812974868497953,0.624780829924021
INSEE_no_velo_travail__ElasticNet,0.6820572764465224,0.7147866744593804,0.7019286966686147,0.575686732904734,0.9029807130333137,0.9812974868497953,0.9999999999999998,0.6294564582115721,0.6937463471654003,0.6306253652834599,0.657510227936879,0.6598480420806545,0.9029807130333137,0.9812974868497953,1.0,0.6294564582115721
INSEE_no_velo_travail__RandomForest,0.5499707773232028,0.5616598480420806,0.5581531268264173,0.4389246054938632,0.618936294564582,0.624780829924021,0.6294564582115721,0.9999999999999998,0.575686732904734,0.5406195207481005,0.5558153126826417,0.7638807714786674,0.618936294564582,0.624780829924021,0.6294564582115721,1.0
